"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Clayton Kershaw","Dodgers","PHI @ LAD",".47","7.02","26.89","5.00","3.20","1.05",".06",".69","1.24","8.78","30.66","47.83","28.24","2036"
"Jose Quintana","Cubs","CHC @ NYM",".47","6.69","27.62","5.49","3.53","1.11",".13",".72","2.63","6.94","22.78","38.83","21.31","11423"
"Aaron Nola","Phillies","PHI @ LAD",".29","6.74","27.73","5.83","3.71","1.23",".07",".82","2.18","7.17","22.55","38.24","21.13","16149"
"Wade LeBlanc","Mariners","TEX @ SEA",".47","6.78","27.25","6.01","4.00","1.19",".08",".74","1.50","5.94","21.79","36.38","20.02","5221"
"Andrew Heaney","Angels","LAA @ DET",".49","5.98","25.24","5.98","3.59","1.25",".29",".86","1.87","6.24","18.89","33.00","17.62","15423"
"Sean Newcomb","Braves","WSH @ ATL",".37","5.86","25.50","5.14","3.42","1.07",".10",".54","3.45","6.40","18.11","33.03","17.21","16943"
"Jack Flaherty","Cardinals","PIT @ STL",".35","5.67","23.54","5.17","3.40",".97",".13",".67","1.84","5.55","17.96","30.43","16.52","17479"
"Sonny Gray","Yankees","NYY @ BAL",".47","5.74","24.47","5.46","3.38","1.04",".05","1.00","2.25","5.64","17.10","30.25","15.92","12768"
"Mike Minor","Rangers","TEX @ SEA",".29","6.07","25.57","6.10","3.80","1.23",".09",".98","1.83","5.63","16.91","30.03","15.66","10021"
"Lance McCullers Jr.","Astros","BOS @ HOU",".40","5.46","23.27","5.25","3.27","1.18",".09",".70","2.14","5.69","17.00","29.70","15.87","14120"
"Daniel Mengden","Athletics","TB @ OAK",".08","6.73","27.75","6.56","4.37","1.45",".19",".55","1.62","4.93","16.91","29.99","15.48","16980"
"Shane Bieber","Indians","CLE @ MIN",".41","6.10","25.75","6.67","3.82","1.51",".17","1.17","1.29","5.24","16.16","28.91","14.91","sa873698"
"Tanner Roark","Nationals","WSH @ ATL",".35","6.31","27.50","6.52","4.23","1.31",".19",".80","2.69","5.14","15.06","28.95","14.28","8753"
"Jordan Lyles","Padres","MIA @ SD",".39","6.05","25.71","6.00","3.90","1.19",".11",".80","2.12","4.63","15.30","28.01","14.11","7593"
"Trevor Williams","Pirates","PIT @ STL",".34","5.91","25.22","5.74","3.77","1.11",".10",".76","2.32","4.89","15.28","27.94","14.16","16977"
"Wei-Yin Chen","Marlins","MIA @ SD",".33","5.99","25.50","5.95","3.43","1.20",".15","1.18","2.11","4.94","14.93","27.30","13.79","13071"
"Seth Lugo","Mets","CHC @ NYM",".25","5.40","22.70","5.05","3.06",".99",".11",".89","1.81","5.04","15.48","26.59","14.26","12447"
"Drew Pomeranz","Red Sox","BOS @ HOU",".27","5.60","25.38","6.26","3.67","1.41",".10","1.08","2.94","5.41","12.35","25.31","11.93","11426"
"Jake Odorizzi","Twins","CLE @ MIN",".29","5.72","25.01","6.11","3.45","1.34",".10","1.22","2.29","4.33","11.98","23.53","11.12","6397"
"Andrew Cashner","Orioles","NYY @ BAL",".24","5.49","24.61","5.99","3.45","1.22",".09","1.23","2.73","4.14","9.98","21.16","9.40","8782"
"Ryan Carpenter","Tigers","LAA @ DET",".20","5.24","23.45","6.04","3.38","1.21",".16","1.31","2.25","3.70","8.64","18.67","8.05","12699"
