"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Ryan Yarbrough","Rays","TB @ OAK","SP","26.68","5.70","3.36","1.39",".09",".86","3.07",".00",".00",".00","2.74","6.08","-14.12","28.50","15.50","16502"
"Mike Trout","Angels","LAA @ DET","CF","4.85","1.32",".63",".24",".07",".38","1.07",".83",".15",".07",".97",".73","12.00","18.62","13.91","10155"
"Aaron Judge","Yankees","NYY @ BAL","RF","4.84","1.11",".58",".20",".01",".32",".87",".78",".05",".03",".84","1.27","9.76","15.20","11.25","15640"
"Justin Upton","Angels","LAA @ DET","LF","4.76","1.19",".59",".25",".01",".33",".80",".90",".05",".03",".56","1.23","9.65","15.09","11.24","5222"
"Giancarlo Stanton","Yankees","NYY @ BAL","DH","4.62","1.08",".51",".20",".01",".36",".75",".92",".01",".01",".58","1.16","9.33","14.60","10.79","4949"
"Freddie Freeman","Braves","WSH @ ATL","1B","4.45","1.27",".72",".28",".03",".24",".73",".71",".05",".03",".68",".63","9.09","14.13","10.67","5361"
"Jose Ramirez","Indians","CLE @ MIN","3B","4.65","1.22",".66",".32",".03",".21",".71",".69",".10",".06",".48",".55","8.62","13.42","10.18","13510"
"Michael Brantley","Indians","CLE @ MIN","LF","4.77","1.38",".85",".29",".02",".22",".76",".66",".07",".04",".32",".45","8.45","13.16","10.13","4106"
"Trea Turner","Nationals","WSH @ ATL","SS","4.92","1.21",".82",".24",".04",".11",".70",".45",".30",".13",".63",".99","8.49","13.10","10.15","16252"
"George Springer","Astros","BOS @ HOU","CF","4.69","1.18",".69",".23",".02",".24",".77",".59",".07",".04",".59",".93","8.50","13.20","10.01","12856"
"Francisco Lindor","Indians","CLE @ MIN","SS","4.87","1.23",".70",".26",".03",".24",".73",".60",".09",".06",".44",".77","8.39","13.03","9.97","12916"
"Ian Kinsler","Angels","LAA @ DET","2B","4.96","1.21",".72",".25",".03",".21",".81",".53",".09",".06",".48",".55","8.33","12.93","9.88","6195"
"Greg Bird","Yankees","NYY @ BAL","1B","4.74",".98",".50",".20",".01",".28",".73",".77",".01",".01",".63","1.03","8.37","13.08","9.65","14131"
"Kyle Schwarber","Cubs","CHC @ NYM","LF","4.67","1.00",".52",".15",".03",".31",".74",".65",".03",".02",".58","1.33","8.35","13.00","9.73","16478"
"Bryce Harper","Nationals","WSH @ ATL","RF","4.81",".96",".57",".18",".01",".20",".76",".58",".06",".03",".98","1.07","8.42","13.07","9.65","11579"
"Mookie Betts","Red Sox","BOS @ HOU","RF","4.77","1.18",".67",".29",".02",".20",".68",".54",".16",".06",".49",".82","8.26","12.80","9.82","13611"
"Jose Altuve","Astros","BOS @ HOU","2B","4.48","1.29",".85",".27",".03",".15",".68",".65",".12",".05",".47",".64","8.17","12.72","9.75","5417"
"Albert Pujols","Angels","LAA @ DET","1B","4.65","1.22",".75",".21",".00",".26",".66",".82",".01",".01",".36",".55","8.12","12.72","9.60","1177"
"Edwin Encarnacion","Indians","CLE @ MIN","DH","4.54",".99",".52",".16",".00",".30",".68",".79",".01",".01",".54","1.06","8.18","12.80","9.48","2151"
"Gary Sanchez","Yankees","NYY @ BAL","C","4.52","1.06",".57",".21",".00",".28",".65",".77",".02",".02",".50",".85","8.12","12.70","9.49","11442"
"Yonder Alonso","Indians","CLE @ MIN","1B","4.44","1.10",".62",".22",".00",".26",".64",".75",".01",".01",".48",".83","8.03","12.55","9.42","2530"
"Christian Villanueva","Padres","MIA @ SD","3B","4.36",".98",".46",".20",".01",".31",".67",".74",".02",".02",".43","1.03","8.02","12.53","9.34","11738"
"Eddie Rosario","Twins","CLE @ MIN","LF","4.43","1.30",".76",".28",".04",".22",".67",".63",".08",".06",".13",".73","7.87","12.25","9.52","12155"
"Alex Bregman","Astros","BOS @ HOU","3B","4.57","1.09",".63",".29",".03",".15",".74",".50",".10",".06",".66",".75","7.96","12.35","9.33","17678"
"Ozzie Albies","Braves","WSH @ ATL","2B","4.56","1.18",".72",".22",".07",".18",".73",".56",".12",".07",".34",".71","7.85","12.20","9.40","16556"
"Carlos Correa","Astros","BOS @ HOU","SS","4.37","1.05",".60",".23",".01",".21",".62",".75",".03",".02",".60","1.00","7.90","12.36","9.20","14162"
"Anthony Rendon","Nationals","WSH @ ATL","3B","4.71","1.13",".69",".30",".01",".12",".60",".65",".03",".03",".77",".69","7.82","12.18","9.12","12861"
"Hunter Renfroe","Padres","MIA @ SD","LF","4.25","1.04",".50",".23",".02",".29",".61",".74",".02",".01",".29","1.03","7.73","12.08","9.10","15464"
"Brian Dozier","Twins","CLE @ MIN","2B","4.54","1.14",".64",".24",".02",".24",".65",".58",".06",".04",".31",".83","7.64","11.88","9.11","9810"
"Miguel Sano","Twins","CLE @ MIN","3B","4.32","1.05",".54",".20",".02",".30",".62",".67",".01",".00",".34","1.41","7.65","11.93","9.02","12164"
"Justin Bour","Marlins","MIA @ SD","1B","4.46",".97",".57",".15",".01",".24",".63",".66",".01",".00",".70",".87","7.70","12.01","8.92","9744"
"Nicholas Castellanos","Tigers","LAA @ DET","RF","4.45","1.22",".68",".28",".07",".19",".66",".55",".03",".03",".32",".95","7.59","11.80","9.10","11737"
"Anthony Rizzo","Cubs","CHC @ NYM","1B","4.46",".97",".55",".19",".01",".22",".59",".66",".04",".02",".64",".72","7.65","11.92","8.90","3473"
"J.D. Martinez","Red Sox","BOS @ HOU","DH","4.56","1.07",".58",".22",".01",".26",".59",".72",".01",".01",".37","1.44","7.59","11.86","8.94","6184"
"Nelson Cruz","Mariners","TEX @ SEA","DH","4.21",".99",".54",".18",".00",".27",".59",".71",".01",".01",".45","1.04","7.51","11.74","8.78","2434"
"Kris Bryant","Cubs","CHC @ NYM","3B","4.56","1.09",".64",".24",".02",".19",".62",".56",".04",".02",".54","1.03","7.48","11.63","8.82","15429"
"Jefry Marte","Angels","LAA @ DET","1B","4.44","1.05",".59",".23",".02",".21",".59",".69",".04",".02",".41",".79","7.46","11.65","8.78","5107"
"Niko Goodrum","Tigers","LAA @ DET","1B","4.56","1.07",".59",".21",".05",".22",".61",".53",".11",".06",".33","1.29","7.43","11.53","8.87","12092"
"Franmil Reyes","Padres","MIA @ SD","RF","4.14",".95",".49",".16",".02",".28",".58",".67",".03",".02",".41","1.03","7.41","11.57","8.70","14566"
"Brett Gardner","Yankees","NYY @ BAL","LF","4.96","1.13",".80",".20",".03",".10",".69",".45",".11",".05",".63",".71","7.35","11.39","8.73","9927"
"Matt Carpenter","Cardinals","PIT @ STL","3B","4.57",".98",".52",".26",".02",".17",".66",".43",".02",".01",".78",".83","7.40","11.44","8.59","8090"
"Andrelton Simmons","Angels","LAA @ DET","SS","4.54","1.27",".88",".26",".04",".10",".59",".61",".07",".05",".37",".30","7.25","11.29","8.73","10847"
"Andrew Benintendi","Red Sox","BOS @ HOU","LF","4.67","1.07",".65",".24",".03",".14",".61",".51",".11",".06",".51","1.04","7.28","11.30","8.63","17901"
"Derek Dietrich","Marlins","MIA @ SD","LF","4.78","1.11",".66",".23",".03",".18",".64",".45",".02",".02",".55",".91","7.28","11.27","8.62","10542"
"Manny Machado","Orioles","NYY @ BAL","SS","4.36","1.10",".66",".21",".01",".23",".56",".62",".04",".03",".36",".72","7.24","11.27","8.61","11493"
"Mitch Haniger","Mariners","TEX @ SEA","RF","4.31","1.00",".55",".23",".02",".21",".58",".62",".04",".03",".47","1.09","7.27","11.32","8.53","14274"
"Tommy Pham","Cardinals","PIT @ STL","CF","4.37","1.03",".69",".17",".02",".15",".57",".54",".12",".07",".57","1.00","7.20","11.19","8.52","2967"
"Eric Hosmer","Padres","MIA @ SD","1B","4.45","1.11",".73",".20",".01",".17",".66",".50",".04",".03",".52",".73","7.19","11.16","8.52","3516"
"Mark Reynolds","Nationals","WSH @ ATL","1B","4.61",".97",".62",".18",".01",".17",".52",".70",".02",".01",".67","1.32","7.16","11.19","8.31","7619"
"Khris Davis","Athletics","TB @ OAK","DH","4.27",".87",".45",".17",".01",".25",".57",".65",".01",".01",".52","1.10","7.15","11.17","8.30","9112"
"Logan Morrison","Twins","CLE @ MIN","DH","4.23","1.00",".54",".21",".02",".23",".58",".61",".01",".01",".39",".86","7.11","11.09","8.37","9205"
"Corey Dickerson","Pirates","PIT @ STL","LF","4.30","1.16",".70",".24",".05",".17",".55",".64",".03",".02",".27",".79","7.05","11.00","8.46","10762"
"J.T. Realmuto","Marlins","MIA @ SD","C","4.67","1.21",".78",".25",".02",".15",".63",".48",".06",".03",".34",".85","7.05","10.95","8.50","11739"
"Chris Young","Angels","LAA @ DET","RF","4.32",".95",".52",".21",".03",".19",".55",".62",".05",".03",".50",".86","7.12","11.09","8.34","3882"
"Ender Inciarte","Braves","WSH @ ATL","CF","4.68","1.25",".94",".19",".05",".07",".61",".39",".17",".09",".38",".55","6.96","10.76","8.51","4922"
"Starling Marte","Pirates","PIT @ STL","CF","4.51","1.15",".81",".18",".03",".13",".53",".51",".17",".09",".33","1.00","6.93","10.76","8.41","9241"
"Jose Pirela","Padres","MIA @ SD","2B","4.55","1.17",".73",".27",".05",".12",".60",".41",".07",".04",".40",".78","6.88","10.64","8.28","5485"
"Jose Martinez","Cardinals","PIT @ STL","1B","4.47","1.20",".82",".25",".01",".13",".63",".49",".04",".03",".40",".60","6.85","10.64","8.21","7996"
"Tyler O'Neill","Cardinals","PIT @ STL","RF","4.27",".98",".58",".18",".02",".20",".52",".71",".04",".03",".30","1.21","6.85","10.73","8.09","15711"
"Jean Segura","Mariners","TEX @ SEA","SS","4.40","1.20",".83",".25",".03",".10",".57",".48",".15",".08",".25",".72","6.78","10.52","8.26","5933"
"Jeimer Candelario","Tigers","LAA @ DET","3B","4.35","1.01",".54",".26",".06",".15",".54",".54",".01",".01",".49","1.04","6.84","10.64","8.07","13621"
"Gleyber Torres","Yankees","NYY @ BAL","2B","4.06","1.02",".64",".19",".02",".17",".54",".55",".08",".05",".37",".86","6.76","10.53","8.05","16997"
"Nick Markakis","Braves","WSH @ ATL","RF","4.35","1.16",".80",".26",".01",".09",".55",".60",".01",".01",".46",".45","6.66","10.41","7.93","5930"
"J.D. Davis","Astros","BOS @ HOU","DH","4.16",".98",".58",".22",".01",".18",".52",".61",".02",".01",".41","1.28","6.69","10.44","7.88","16219"
"Didi Gregorius","Yankees","NYY @ BAL","SS","4.40","1.04",".64",".21",".02",".17",".55",".57",".04",".02",".33",".51","6.65","10.37","7.92","6012"
