"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"J.D. Martinez","Red Sox","BOS @ CWS","DH","4.69","1.37",".67",".27",".01",".42",".89","1.09",".01",".01",".56","1.02","10.98","17.20","12.80","6184"
"Mookie Betts","Red Sox","BOS @ CWS","RF","5.03","1.32",".73",".30",".03",".27",".89",".72",".17",".07",".68",".63","10.22","15.87","12.01","13611"
"Tyler Austin","Twins","MIN @ TEX","1B","4.57","1.18",".53",".24",".02",".40",".80","1.00",".03",".02",".45","1.27","9.90","15.51","11.52","11850"
"Miguel Sano","Twins","MIN @ TEX","3B","4.68","1.09",".51",".21",".01",".35",".82",".94",".01",".01",".65","1.44","9.58","15.00","11.03","12164"
"Christian Yelich","Brewers","MIL @ WSH","LF","4.83","1.40",".86",".27",".02",".24",".89",".67",".10",".04",".56",".95","9.50","14.77","11.26","11477"
"Andrew Benintendi","Red Sox","BOS @ CWS","LF","4.92","1.23",".74",".26",".03",".20",".84",".69",".12",".07",".67",".76","9.17","14.27","10.75","17901"
"Bryce Harper","Nationals","MIL @ WSH","RF","4.52","1.02",".53",".20",".01",".29",".80",".72",".04",".03",".90","1.01","9.19","14.30","10.55","11579"
"Ronald Acuna","Braves","PIT @ ATL","LF","4.71","1.32",".78",".28",".03",".23",".76",".61",".15",".10",".39","1.02","8.84","13.71","10.57","18401"
"Jesus Aguilar","Brewers","MIL @ WSH","1B","4.73","1.14",".63",".20",".01",".30",".78",".81",".01",".01",".57","1.12","8.87","13.86","10.33","11342"
"Curtis Granderson","Brewers","MIL @ WSH","LF","4.94","1.11",".59",".24",".02",".26",".83",".57",".06",".03",".75","1.06","8.85","13.73","10.29","4747"
"Freddie Freeman","Braves","PIT @ ATL","1B","4.48","1.30",".75",".33",".03",".20",".74",".70",".04",".03",".58",".70","8.75","13.63","10.32","5361"
"Alex Bregman","Astros","LAA @ HOU","3B","4.54","1.14",".65",".29",".03",".18",".72",".76",".08",".05",".71",".65","8.74","13.63","10.17","17678"
"Jose Ramirez","Indians","TB @ CLE","3B","4.45","1.13",".59",".30",".02",".22",".71",".70",".09",".04",".60",".54","8.65","13.47","10.11","13510"
"Travis Shaw","Brewers","MIL @ WSH","3B","4.61","1.12",".63",".22",".01",".26",".72",".81",".03",".01",".60",".80","8.62","13.49","10.04","11982"
"Rhys Hoskins","Phillies","CHC @ PHI","LF","4.49","1.01",".48",".22",".02",".30",".75",".66",".04",".03",".67","1.02","8.60","13.38","9.96","16472"
"Jose Altuve","Astros","LAA @ HOU","2B","4.65","1.36",".94",".27",".03",".12",".78",".59",".14",".06",".53",".73","8.48","13.18","10.14","5417"
"Francisco Lindor","Indians","TB @ CLE","SS","4.66","1.22",".70",".28",".02",".22",".73",".65",".09",".05",".47",".66","8.42","13.10","9.96","12916"
"Ryan Braun","Brewers","MIL @ WSH","1B","4.51","1.20",".71",".25",".02",".23",".66",".80",".09",".05",".38",".76","8.38","13.11","9.92","3410"
"Mitch Moreland","Red Sox","BOS @ CWS","1B","4.81","1.08",".60",".21",".02",".24",".79",".78",".01",".01",".56",".95","8.43","13.20","9.78","3086"
"Trea Turner","Nationals","MIL @ WSH","SS","4.64","1.20",".84",".18",".04",".15",".75",".53",".28",".11",".43",".88","8.29","12.85","9.96","16252"
"Mike Moustakas","Brewers","MIL @ WSH","3B","4.40","1.14",".63",".22",".01",".29",".64",".78",".01",".01",".44",".61","8.29","12.96","9.75","4892"
"Anthony Rendon","Nationals","MIL @ WSH","3B","4.43","1.18",".71",".27",".01",".19",".70",".79",".03",".02",".51",".64","8.17","12.79","9.58","12861"
"George Springer","Astros","LAA @ HOU","CF","4.78","1.10",".67",".22",".02",".19",".77",".58",".07",".04",".69","1.03","8.22","12.77","9.60","12856"
"Charlie Blackmon","Rockies","COL @ SD","CF","4.79","1.25",".76",".23",".05",".21",".66",".51",".10",".06",".46",".84","8.04","12.44","9.64","7859"
"Rougned Odor","Rangers","MIN @ TEX","","4.65","1.11",".64",".21",".03",".21",".69",".66",".12",".07",".40","1.10","8.01","12.47","9.48","12282"
"Gary Sanchez","Yankees","DET @ NYY","C","4.28","1.00",".51",".18",".00",".31",".65",".77",".02",".01",".42",".96","7.99","12.49","9.31","11442"
"Juan Soto","Nationals","MIL @ WSH","LF","4.32","1.02",".62",".19",".01",".20",".66",".71",".04",".04",".74",".90","8.02","12.51","9.29","20123"
"Matt Carpenter","Cardinals","CIN @ STL","3B","4.55","1.11",".56",".29",".02",".25",".68",".54",".01",".01",".55",".89","7.96","12.35","9.35","8090"
"Mike Trout","Angels","LAA @ HOU","CF","4.43",".96",".53",".18",".04",".21",".60",".56",".11",".05",".77","1.27","7.98","12.37","9.30","10155"
"Jorge Polanco","Twins","MIN @ TEX","SS","4.80","1.22",".79",".25",".04",".14",".68",".67",".08",".06",".42",".78","7.85","12.25","9.33","13152"
"Edwin Encarnacion","Indians","TB @ CLE","DH","4.35",".94",".49",".17",".00",".28",".67",".78",".01",".00",".56",".95","7.92","12.40","9.15","2151"
"Shin-Soo Choo","Rangers","MIN @ TEX","DH","4.76","1.14",".75",".22",".01",".17",".72",".53",".06",".03",".69","1.07","7.89","12.25","9.28","3174"
"Logan Forsythe","Twins","MIN @ TEX","2B","4.91","1.19",".79",".25",".01",".14",".73",".57",".04",".03",".65",".82","7.85","12.20","9.23","7185"
"Ryan Zimmerman","Nationals","MIL @ WSH","1B","4.22","1.08",".59",".22",".01",".25",".59",".84",".01",".01",".39",".88","7.81","12.25","9.16","4220"
"Xander Bogaerts","Red Sox","BOS @ CWS","SS","4.60","1.16",".72",".25",".02",".18",".63",".70",".05",".03",".50",".77","7.80","12.17","9.21","12161"
"Jonathan Villar","Orioles","BAL @ KC","2B","4.75","1.25",".89",".24",".03",".10",".62",".51",".24",".11",".41","1.05","7.74","11.99","9.36","10071"
"Andrew McCutchen","Yankees","DET @ NYY","RF","4.61","1.06",".62",".21",".01",".22",".68",".55",".06",".04",".62","1.01","7.82","12.15","9.16","9847"
"Nelson Cruz","Mariners","SEA @ OAK","DH","4.50","1.08",".62",".19",".00",".26",".61",".77",".01",".01",".43",".90","7.77","12.16","9.12","2434"
"Starling Marte","Pirates","PIT @ ATL","CF","4.86","1.27",".86",".24",".03",".14",".62",".48",".20",".10",".36",".93","7.69","11.90","9.33","9241"
"Miguel Andujar","Yankees","DET @ NYY","3B","4.39","1.24",".74",".27",".01",".22",".63",".72",".03",".02",".21",".74","7.66","11.98","9.17","15878"
"Joey Gallo","Rangers","MIN @ TEX","LF","4.10",".82",".35",".15",".02",".31",".62",".75",".03",".02",".54","1.40","7.78","12.17","8.96","14128"
"Cedric Mullins II","Orioles","BAL @ KC","OF","4.86","1.25",".81",".25",".07",".11",".65",".51",".14",".08",".40",".72","7.63","11.82","9.20","17929"
"Carlos Correa","Astros","LAA @ HOU","SS","4.43","1.01",".61",".21",".02",".17",".63",".76",".03",".02",".61","1.13","7.66","11.99","8.89","14162"
"Michael Brantley","Indians","TB @ CLE","LF","4.55","1.25",".82",".28",".01",".14",".70",".57",".08",".04",".40",".44","7.59","11.81","9.06","4106"
"Roman Quinn","Phillies","CHC @ PHI","RF","4.60","1.26",".85",".23",".07",".10",".61",".39",".24",".13",".34",".89","7.53","11.62","9.21","13546"
"Whit Merrifield","Royals","BAL @ KC","2B","4.65","1.31",".89",".28",".04",".09",".58",".48",".17",".09",".40",".64","7.53","11.65","9.15","11281"
"Nolan Arenado","Rockies","COL @ SD","3B","4.46","1.08",".64",".21",".02",".22",".61",".71",".02",".02",".46",".75","7.59","11.87","8.93","9777"
"Joey Votto","Reds","CIN @ STL","1B","4.56","1.12",".75",".22",".01",".13",".66",".49",".02",".01",".84",".67","7.62","11.81","8.91","4314"
"Cody Bellinger","Dodgers","ARI @ LAD","1B","4.22","1.00",".53",".21",".02",".24",".60",".67",".05",".02",".42",".99","7.51","11.73","8.83","15998"
"Adam Eaton","Nationals","MIL @ WSH","LF","4.76","1.24",".87",".22",".04",".12",".67",".43",".09",".06",".56",".79","7.48","11.57","8.97","11205"
"Aaron Hicks","Yankees","DET @ NYY","CF","4.50",".95",".59",".17",".01",".19",".66",".53",".10",".06",".66",".90","7.53","11.70","8.79","5297"
"Khris Davis","Athletics","SEA @ OAK","DH","4.26",".95",".46",".20",".01",".27",".62",".71",".01",".00",".42","1.10","7.50","11.73","8.75","9112"
"Tyler White","Astros","LAA @ HOU","DH","4.33",".95",".56",".19",".02",".19",".65",".72",".03",".02",".60","1.03","7.51","11.76","8.70","15564"
"Elvis Andrus","Rangers","MIN @ TEX","SS","4.53","1.28",".83",".30",".04",".11",".59",".59",".11",".06",".31",".61","7.40","11.51","8.94","8709"
"Ender Inciarte","Braves","PIT @ ATL","CF","4.59","1.32",".99",".22",".05",".07",".71",".45",".19",".09",".32",".53","7.36","11.40","8.97","4922"
"Mitch Garver","Twins","MIN @ TEX","C","4.47","1.11",".65",".24",".02",".19",".63",".63",".02",".01",".46",".90","7.44","11.59","8.78","15161"
"Gregory Polanco","Pirates","PIT @ ATL","RF","4.64","1.04",".59",".26",".03",".16",".61",".59",".07",".03",".53",".98","7.46","11.61","8.76","12907"
"Wilson Ramos","Phillies","CHC @ PHI","C","4.29","1.16",".73",".21",".01",".22",".59",".73",".01",".00",".29",".78","7.31","11.45","8.71","1433"
"Mitch Haniger","Mariners","SEA @ OAK","RF","4.82","1.14",".66",".28",".01",".18",".63",".51",".05",".04",".44","1.04","7.35","11.41","8.74","14274"
"Johan Camargo","Braves","PIT @ ATL","3B","4.28","1.17",".72",".29",".03",".13",".61",".73",".02",".01",".36",".76","7.30","11.44","8.66","14950"
"Adrian Beltre","Rangers","MIN @ TEX","3B","4.31","1.19",".77",".24",".01",".17",".61",".66",".01",".00",".42",".74","7.30","11.39","8.67","639"
"Joc Pederson","Dodgers","ARI @ LAD","LF","4.52","1.01",".50",".24",".01",".26",".63",".52",".04",".03",".40",".85","7.34","11.40","8.66","11899"
"Corey Dickerson","Pirates","PIT @ ATL","LF","4.43","1.22",".75",".28",".04",".15",".58",".71",".03",".02",".25",".79","7.25","11.34","8.69","10762"
"Javier Baez","Cubs","CHC @ PHI","2B","4.63","1.19",".71",".25",".04",".19",".62",".55",".09",".05",".18","1.32","7.24","11.26","8.75","12979"
"Yonder Alonso","Indians","TB @ CLE","1B","4.25","1.02",".59",".21",".00",".22",".59",".68",".01",".01",".46",".87","7.31","11.42","8.56","2530"
"Trevor Story","Rockies","COL @ SD","SS","4.37","1.09",".61",".27",".03",".18",".54",".64",".07",".04",".33","1.15","7.25","11.30","8.62","12564"
"Tim Anderson","White Sox","BOS @ CWS","SS","4.66","1.23",".81",".23",".04",".15",".59",".51",".15",".07",".21","1.09","7.17","11.13","8.73","15172"
"Adam Frazier","Pirates","PIT @ ATL","DH","4.75","1.22",".82",".26",".04",".09",".63",".47",".11",".07",".45",".67","7.21","11.17","8.67","15223"
"Scooter Gennett","Reds","CIN @ STL","2B","4.47","1.26",".87",".23",".02",".15",".57",".72",".02",".01",".28",".82","7.16","11.21","8.61","10339"
"Anthony Rizzo","Cubs","CHC @ PHI","1B","4.52","1.07",".64",".23",".02",".19",".57",".57",".04",".02",".49",".82","7.21","11.21","8.52","3473"
"Nick Markakis","Braves","PIT @ ATL","RF","4.38","1.28",".87",".31",".01",".08",".62",".65",".01",".01",".43",".46","7.16","11.18","8.54","5930"
"Jean Segura","Mariners","SEA @ OAK","SS","4.70","1.33",".96",".26",".03",".08",".60",".48",".17",".08",".23",".55","7.06","10.94","8.66","5933"
"Billy McKinney","Blue Jays","TOR @ MIA","LF","4.73","1.03",".57",".21",".06",".19",".59",".52",".03",".03",".47","1.05","7.15","11.11","8.47","15654"
"Daniel Murphy","Cubs","CHC @ PHI","2B","4.73","1.31",".84",".30",".02",".15",".63",".45",".02",".02",".29",".67","7.07","10.95","8.58","4316"
