"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Walker Buehler","Dodgers","ARI @ LAD",".44","6.12","24.96","4.97","3.05","1.00",".08",".84","2.07","7.98","24.48","40.15","22.77","19374"
"Noah Syndergaard","Mets","NYM @ SF",".46","6.77","27.28","6.12","4.31","1.22",".20",".39","1.40","6.84","23.99","39.85","22.20","11762"
"Gerrit Cole","Astros","LAA @ HOU",".52","6.49","26.94","5.74","3.70","1.20",".18",".66","2.31","7.48","23.44","39.88","21.99","13125"
"Carlos Carrasco","Indians","TB @ CLE",".49","6.39","26.20","5.98","3.90","1.23",".09",".76","1.62","7.41","23.35","39.13","21.74","6632"
"Lance Lynn","Yankees","DET @ NYY",".47","6.30","26.31","5.68","3.69","1.12",".08",".78","2.37","6.71","20.97","36.26","19.64","2520"
"Aaron Nola","Phillies","CHC @ PHI",".40","6.22","25.79","5.81","3.71","1.23",".13",".74","1.79","6.54","20.72","35.30","19.20","16149"
"Kyle Freeland","Rockies","COL @ SD",".44","6.21","26.03","5.62","3.66","1.12",".14",".70","2.37","6.11","19.46","33.95","18.14","16256"
"Sean Reid-Foley","Blue Jays","TOR @ MIA",".41","6.17","25.53","5.56","3.77","1.00",".21",".59","2.06","5.75","19.27","33.18","17.80","17034"
"Luke Weaver","Cardinals","CIN @ STL",".39","6.39","26.98","6.46","4.65","1.07",".14",".61","2.07","5.60","17.91","32.30","16.74","16918"
"Chris Stratton","Giants","NYM @ SF",".28","6.29","26.33","6.09","4.15","1.13",".26",".55","1.96","5.47","17.84","31.62","16.48","13761"
"Jeff Brigham","Marlins","TOR @ MIA",".31","6.16","25.56","6.06","3.87","1.23",".14",".83","1.55","4.81","16.38","28.82","14.89","sa828882"
"Anthony DeSclafani","Reds","CIN @ STL",".35","5.99","25.27","6.45","4.25","1.23",".08",".90","1.41","4.81","15.46","27.90","14.21","13050"
"Julio Teheran","Braves","PIT @ ATL",".39","5.74","24.67","5.66","3.59","1.20",".16",".71","2.39","4.89","15.01","27.61","13.98","6797"
"Clay Buchholz","Diamondbacks","ARI @ LAD",".27","5.78","24.44","5.63","3.18","1.18",".07","1.21","1.94","5.06","15.08","26.98","13.83","3543"
"Felix Hernandez","Mariners","SEA @ OAK",".38","5.73","24.56","5.73","3.30","1.35",".12",".97","2.19","4.92","14.75","27.02","13.67","4772"
"David Hess","Orioles","BAL @ KC",".36","5.66","24.56","5.89","3.65","1.30",".21",".73","2.30","4.95","14.37","26.90","13.45","16130"
"Brian Johnson","Red Sox","BOS @ CWS",".44","5.51","23.95","6.19","4.00","1.18",".14",".86","1.83","5.06","14.40","26.80","13.51","14272"
"Jacob Nix","Padres","COL @ SD",".30","5.87","24.97","6.12","3.83","1.25",".15",".88","1.79","4.55","14.25","26.23","13.08","17775"
"Jorge Lopez","Royals","BAL @ KC",".33","5.74","24.87","6.26","4.18","1.23",".17",".68","2.03","4.74","13.92","26.32","12.97","14527"
"Jon Lester","Cubs","CHC @ PHI",".29","5.48","23.67","5.51","3.37","1.06",".11",".97","2.31","4.98","14.13","26.00","13.18","4930"
"Matt Boyd","Tigers","DET @ NYY",".27","5.66","24.66","5.91","3.55","1.15",".06","1.15","2.35","5.12","13.71","26.01","12.85","15440"
"Gabriel Moya","Twins","MIN @ TEX",".38","5.40","23.92","5.93","3.69","1.20",".13",".91","2.37","5.11","13.37","25.69","12.67","16348"
"Junior Guerra","Brewers","MIL @ WSH",".36","5.36","23.81","5.75","3.63","1.05",".10",".97","2.62","4.42","11.70","23.33","11.05","5702"
"Edwin Jackson","Athletics","SEA @ OAK",".32","5.72","24.74","6.26","3.87","1.38",".12",".90","1.90","3.83","11.80","22.96","10.82","1841"
"Jefry Rodriguez","Nationals","MIL @ WSH",".27","5.25","23.56","5.80","3.45","1.12",".06","1.18","2.54","4.24","10.38","21.36","9.80","17018"
"Shohei Ohtani","Angels","LAA @ HOU",".20","5.05","23.29","5.65","3.43","1.22",".11",".89","3.06","4.65","9.87","21.31","9.58","19755"
"Diego Castillo","Rays","TB @ CLE",".22","5.37","23.94","5.95","3.51","1.37",".07","1.01","2.43","3.96","10.03","20.82","9.39","17496"
"Yohander Mendez","Rangers","MIN @ TEX",".25","5.11","23.23","5.93","3.46","1.18",".12","1.17","2.48","4.30","9.59","20.36","9.14","14391"
"Nick Kingham","Pirates","PIT @ ATL",".28","5.50","24.45","6.81","4.36","1.50",".17",".78","1.80","3.28","8.98","19.56","8.34","11694"
"James Shields","White Sox","BOS @ CWS",".24","5.43","24.50","6.27","3.57","1.28",".10","1.32","2.52","3.79","8.55","19.12","8.04","7059"
