Date and Time (ET),Amount,Description,Transaction ID
2018-06-29 18:45:55,-$20.00,User funds transfer,105199
2018-06-28 14:56:15,-$98.00,User funds transfer,104950
2018-06-24 12:53:45,-$5.00,Contest Buyin for $5 MLB 50/50 entry,104089
2018-06-24 12:53:38,$2.00,Refund for $2 MLB Tourney entry,104088
2018-06-24 12:53:31,-$2.00,Contest Buyin for $2 MLB 50/50 entry,104087
2018-06-24 12:53:13,-$2.00,Contest Buyin for $2 MLB Tourney entry,104086
2018-06-23 19:14:27,-$1.00,Contest Buyin for $1 MLB 50/50 entry,103859
2018-06-23 19:14:25,-$5.00,Contest Buyin for $5 MLB 50/50 entry,103857
2018-06-23 19:14:03,$1.00,Refund for $1 MLB 50/50 entry,103856
2018-06-23 19:11:44,-$1.00,Contest Buyin for $1 MLB 50/50 entry,103855
2018-06-23 19:11:35,$10.00,Refund for $10 MLB 50/50 entry,103849
2018-06-23 19:02:13,-$10.00,Contest Buyin for $10 MLB 50/50 entry,103822
2018-06-23 12:18:47,$9.00,Payout for $5 MLB 50/50 entry,103667
2018-06-22 19:04:20,-$2.00,Contest Buyin for $2 MLB H2H entry,103620
2018-06-22 19:04:14,$5.00,Refund for $5 MLB H2H entry,103619
2018-06-22 19:02:45,-$5.00,Contest Buyin for $5 MLB H2H entry,103618
2018-06-22 19:02:36,$2.00,Refund for $2 MLB 50/50 entry,103617
2018-06-22 18:54:58,-$2.00,Contest Buyin for $2 MLB 50/50 entry,103609
2018-06-22 18:54:53,-$5.00,Contest Buyin for $5 MLB 50/50 entry,103608
2018-06-21 18:46:59,-$2.00,Contest Buyin for $2 MLB Tourney entry,103364
2018-06-21 18:46:16,-$1.00,Contest Buyin for $1 MLB 50/50 entry,103359
2018-06-21 18:45:56,-$2.00,Contest Buyin for $2 MLB 50/50 entry,103358
2018-06-21 18:45:47,-$5.00,Contest Buyin for $5 MLB 50/50 entry,103357
2018-06-21 03:38:03,$9.00,Payout for $5 MLB 50/50 entry,103236
2018-06-21 03:38:02,$3.00,Payout for $1 MLB Tourney entry,103231
2018-06-21 03:38:01,$3.60,Payout for $2 MLB 50/50 entry,103217
2018-06-21 03:38:00,$1.80,Payout for $1 MLB 50/50 entry,103210
2018-06-20 18:59:08,-$1.00,Contest Buyin for $1 MLB Tourney entry,103169
2018-06-20 18:58:51,$1.00,Refund for $1 MLB H2H entry,103168
2018-06-20 18:58:48,-$1.00,Contest Buyin for $1 MLB H2H entry,103167
2018-06-20 18:55:31,$1.00,Refund for $1 MLB H2H entry,103166
2018-06-20 18:54:51,-$1.00,Contest Buyin for $1 MLB H2H entry,103165
2018-06-20 18:52:46,-$5.00,Contest Buyin for $5 MLB 50/50 entry,103164
2018-06-20 18:52:42,-$2.00,Contest Buyin for $2 MLB 50/50 entry,103163
2018-06-20 18:52:35,-$1.00,Contest Buyin for $1 MLB 50/50 entry,103162
2018-06-20 18:52:28,$20.00,Refund for $20 MLB 50/50 entry,103161
2018-06-20 18:52:08,$10.00,Refund for $10 MLB 50/50 entry,103160
2018-06-20 18:27:13,-$10.00,Contest Buyin for $10 MLB 50/50 entry,103143
2018-06-20 18:27:07,-$20.00,Contest Buyin for $20 MLB 50/50 entry,103142
2018-06-20 01:43:19,$18.00,Payout for $10 MLB 50/50 entry,103077
2018-06-20 01:43:11,$36.00,Payout for $20 MLB 50/50 entry,103031
2018-06-19 18:54:11,-$10.00,Contest Buyin for $10 MLB 50/50 entry,103007
2018-06-19 18:53:45,-$20.00,Contest Buyin for $20 MLB 50/50 entry,103005
2018-06-19 01:48:09,$1.80,Payout for $1 MLB 50/50 entry,102911
2018-06-19 01:48:06,$9.00,Payout for $5 MLB 50/50 entry,102883
2018-06-19 01:48:05,$3.60,Payout for $2 MLB 50/50 entry,102872
2018-06-18 18:19:42,-$2.00,Contest Buyin for $2 MLB 50/50 entry,102756
2018-06-18 18:19:35,-$5.00,Contest Buyin for $5 MLB 50/50 entry,102755
2018-06-18 18:19:24,-$1.00,Contest Buyin for $1 MLB 50/50 entry,102754
2018-06-17 23:44:31,$36.00,Payout for $20 MLB 50/50 entry,102629
2018-06-17 23:44:16,$18.00,Payout for $10 MLB 50/50 entry,102610
2018-06-17 12:51:49,-$20.00,Contest Buyin for $20 MLB 50/50 entry,102527
2018-06-17 12:51:44,-$10.00,Contest Buyin for $10 MLB 50/50 entry,102526
2018-06-17 01:23:15,$1.80,Payout for $1 Beginner MLB 50/50 entry,102445
2018-06-17 01:23:13,$9.00,Payout for $5 MLB 50/50 entry,102439
2018-06-17 01:23:07,$1.80,Payout for $1 MLB 50/50 entry,102427
2018-06-16 19:49:31,-$5.00,Contest Buyin for $5 MLB 50/50 entry,102339
2018-06-16 19:49:26,$2.00,Refund for $2 MLB 50/50 entry,102338
2018-06-16 19:40:15,-$2.00,Contest Buyin for $2 MLB 50/50 entry,102337
2018-06-16 19:40:06,-$1.00,Contest Buyin for $1 MLB 50/50 entry,102336
2018-06-16 19:39:56,-$1.00,Contest Buyin for $1 Beginner MLB 50/50 entry,102335
2018-06-16 02:13:31,$1.80,Payout for $1 Beginner MLB 50/50 entry,102266
2018-06-16 02:13:25,$9.00,Payout for $5 MLB 50/50 entry,102229
2018-06-16 02:13:24,$3.60,Payout for $2 MLB 50/50 entry,102223
2018-06-15 18:55:52,-$1.00,Contest Buyin for $1 Beginner MLB 50/50 entry,102162
2018-06-15 18:55:48,$1.00,Refund for $1 MLB 50/50 entry,102161
2018-06-15 18:55:39,-$5.00,Contest Buyin for $5 MLB 50/50 entry,102160
2018-06-15 18:55:35,-$2.00,Contest Buyin for $2 MLB 50/50 entry,102159
2018-06-15 18:55:31,-$1.00,Contest Buyin for $1 MLB 50/50 entry,102158
2018-06-13 03:28:40,$3.60,Payout for $2 MLB 50/50 entry,101588
2018-06-13 03:28:33,$1.80,Payout for $1 MLB 50/50 entry,101572
2018-06-13 03:28:30,$1.80,Payout for $1 Beginner MLB 50/50 entry,101562
