"Wade LeBlanc",7200,SEA,SP,OAK,24.36781,0.01219,12.19
"Justin Verlander",12000,HOU,SP,LAA,34.39632,14.71344,24.36
"Andrew Heaney",7400,LAA,SP,HOU,23.625,5.1975,15.75
"Rick Porcello",9800,BOS,SP,CHW,28.26432,9.29376,20.16
"Frankie Montas",6000,OAK,SP,SEA,21.80794,4.94802,13.09
"Eric Lauer",5200,SDP,SP,COL,20.17573,4.74858,11.47
"Robbie Ray",8000,ARI,SP,LAD,25.54365,5.13585,16.95
"Rich Hill",9400,LAD,SP,ARI,30.60288,14.82624,21.12
"German Marquez",8500,COL,SP,SDP,29.574,8.16624,19.08
"Lucas Giolito",5000,CHW,SP,BOS,20.81956,3.45644,11.56
"Mike Foltynewicz",10400,ATL,SP,CHC,29.8851,7.69006,18.62
"Mike Clevinger",9900,CLE,SP,MIN,25.67664,6.9696,15.84
"Jake Odorizzi",6900,MIN,SP,CLE,20.7776,1.3288,12.08
"Cody Reed",4900,CIN,SP,MIL,19.82928,1.76235,11.37
"J.A. Happ",10000,NYY,SP,DET,29.62808,9.60016,20.69
"Francisco Liriano",4700,DET,SP,NYY,17.33047,2.9203,10.07
"Mike Montgomery",6300,CHC,SP,ATL,18.81288,1.50336,10.44
"Joe Musgrove",7000,PIT,SP,STL,21.84855,1.40501,12.89
"John Gant",6800,STL,SP,PIT,21.65205,2.14701,12.13
"Wade Miley",7800,MIL,SP,CIN,21.85667,2.99874,12.19
