"James McCann",2600,DET,C,OAK,,0.999,4.5
"John Hicks",3100,DET,1B/C,OAK,,0.999,6.14
"Nick Castellanos",3700,DET,OF,OAK,,0.735,7.75
"Jose Iglesias",3700,DET,SS,OAK,,0.999,5.74
"Marcus Semien",4400,OAK,SS,DET,,0.765,8.15
"Stephen Piscotty",3700,OAK,OF,DET,,0.999,6.93
"Khris Davis",5000,OAK,OF,DET,,0.783,8.55
"JaCoby Jones",2900,DET,OF,OAK,,0.999,7.1
"Renato Nunez",3500,BAL,3B/OF,TEX,,0.758,6
"Rougned Odor",5500,TEX,2B,BAL,,0.758,8.83
"Shin-Soo Choo",5100,TEX,OF,BAL,,0.745,8.24
"Joey Gallo",4900,TEX,1B/OF,BAL,,0.999,8.12
"Ronald Guzman",3700,TEX,1B,BAL,,0.999,6.33
"Jace Peterson",3600,BAL,3B/OF,TEX,,0.999,6.46
"Willie Calhoun",4000,TEX,OF,BAL,,0.999,6.69
"Mark Canha",4100,OAK,OF,DET,,0.999,6.41
"Jonathan Lucroy",3100,OAK,C,DET,,0.999,5.87
"Alex Bregman",4600,HOU,3B,LAD,,0.758,7.49
"George Springer",4700,HOU,OF,LAD,,0.738,7.13
"Yulieski Gurriel",3300,HOU,1B,LAD,,0.999,6.95
"Manny Machado",4500,LAD,SS,HOU,,0.999,6.83
"Brian Dozier",3900,LAD,2B,HOU,,0.999,5.95
"Justin Turner",3600,LAD,3B,HOU,,0.999,6.75
"Matt Olson",3700,OAK,1B,DET,,0.999,6.4
"Victor Reyes",3000,DET,OF,OAK,,0.999,4.65
"Jed Lowrie",4300,OAK,2B,DET,,0.739,7.74
"Matt Chapman",4200,OAK,3B,DET,,0.742,7.79
"Franklin Barreto",3400,OAK,2B,DET,,0.999,5.57
"Niko Goodrum",3500,DET,2B/OF,OAK,,0.999,5.87
"Jeimer Candelario",3700,DET,3B,OAK,,0.7,5.95
"Victor Martinez",2900,DET,1B,OAK,,0.999,6.12
"Chris Davis",3700,BAL,1B,TEX,,0.999,7.46
"Carlos Tocci",3300,TEX,OF,BAL,,0.999,3.35
"Manuel Margot",3700,SDP,OF,CHC,,0.999,8.23
"Addison Russell",3700,CHC,SS,SDP,,0.999,6.15
"Austin Hedges",3200,SDP,C,CHC,,0.745,7.59
"Hunter Renfroe",3900,SDP,OF,CHC,,0.754,8.17
"Jose Pirela",3200,SDP,2B/OF,CHC,,0.999,6.68
"Christian Villanueva",3800,SDP,3B,CHC,,0.766,8.3
"Willson Contreras",4500,CHC,C,SDP,,0.999,7.01
"Javier Baez",5900,CHC,2B/SS,SDP,,0.78,8.88
"Orlando Arcia",2700,MIL,SS,COL,,0.999,5.36
"Erik Kratz",2800,MIL,C,COL,,0.999,4.33
"Ryan Braun",3900,MIL,1B/OF,COL,,0.736,8.48
"Eric Hosmer",3300,SDP,1B,CHC,,0.716,6.81
"Freddy Galvis",3000,SDP,SS,CHC,,0.999,6.47
"Kyle Schwarber",3900,CHC,OF,SDP,,0.999,5.83
"Ian Happ",3900,CHC,OF,SDP,,0.774,6.46
"Franmil Reyes",2900,SDP,OF,CHC,,0,7.4
"Adrian Beltre",3800,TEX,3B,BAL,,0.815,8.69
"Elvis Andrus",4400,TEX,SS,BAL,,0.999,7.62
"Robinson Chirinos",4200,TEX,C,BAL,,0.999,7.16
"Jonathan Villar",4100,BAL,2B,TEX,,0.676,9.88
"Caleb Joseph",3300,BAL,C,TEX,,0.999,4.83
"Joey Rickard",3800,BAL,OF,TEX,,0.999,6.67
"Trey Mancini",4000,BAL,OF,TEX,,0.824,7.64
"Mark Trumbo",4000,BAL,OF,TEX,,0.999,8.51
"Albert Almora",3800,CHC,OF,SDP,,0.999,7.4
"Victor Caratini",3400,CHC,1B/C,SDP,,0,5.44
"David Bote",3600,CHC,2B/3B,SDP,,0.999,8.76
"Tim Beckham",4000,BAL,3B/SS,TEX,,0.736,8.29
"Danny Valencia",3900,BAL,3B/OF,TEX,,0.763,8.78
"Adam Jones",4100,BAL,OF,TEX,,0.732,8.49
"Yasiel Puig",4100,LAD,OF,HOU,,0.999,5.87
"J.D. Davis",3400,HOU,1B/3B,LAD,,0.999,5.95
"David Peralta",4900,ARI,OF,SFG,,0.999,7.57
"Brandon Crawford",3700,SFG,SS,ARI,,0.999,6.99
"Giancarlo Stanton",4700,NYY,OF,BOS,,0.799,9.66
"Mookie Betts",6100,BOS,OF,NYY,,0.773,9.29
"Xander Bogaerts",4500,BOS,SS,NYY,,0.756,8.13
"J.D. Martinez",5700,BOS,OF,NYY,,0.755,8.5
"John Ryan Murphy",3000,ARI,C,SFG,,0.999,6.1
"Ketel Marte",4200,ARI,2B/SS,SFG,,0.999,6.89
"A.J. Pollock",5100,ARI,OF,SFG,,0.798,10.28
"Paul Goldschmidt",5200,ARI,1B,SFG,,0.786,9.63
"Steven Souza",4000,ARI,OF,SFG,,0.999,7.7
"Nick Ahmed",4600,ARI,SS,SFG,,0.805,8.17
"Chase d'Arnaud",3300,SFG,2B/3B,ARI,,0.999,6.3
"Austin Slater",3900,SFG,1B/OF,ARI,,0.999,6.87
"Eduardo Nunez",4000,BOS,2B/3B,NYY,,0.999,7.17
"Aaron Hicks",4700,NYY,OF,BOS,,0.765,9.03
"Sandy Leon",3000,BOS,C,NYY,,0.999,5.41
"Brock Holt",3700,BOS,2B/SS,NYY,,0.999,6.2
"Jackie Bradley",4100,BOS,OF,NYY,,0.999,5.43
"Gregory Bird",3900,NYY,1B,BOS,,0.999,6.78
"Neil Walker",3600,NYY,1B/2B,BOS,,0.738,6.29
"Steve Pearce",4300,BOS,1B/OF,NYY,,0.738,7.11
"Mitch Moreland",4200,BOS,1B,NYY,,0.999,7.35
