"Ketel Marte",3700,ARI,2B/SS,CHC,,0.72,5.77
"Addison Russell",3600,CHC,SS,ARI,,0.999,5.98
"Willson Contreras",4200,CHC,C,ARI,,0.77,6.54
"Albert Almora",3700,CHC,OF,ARI,,0.754,5.32
"Adam Eaton",4600,WAS,OF,MIL,,0.8,8.51
"Daniel Murphy",4100,WAS,1B/2B,MIL,,0.999,7.51
"Bryce Harper",4700,WAS,OF,MIL,,0.771,10.05
"Javier Baez",5100,CHC,2B/SS,ARI,,0.787,9.43
"Kris Bryant",4500,CHC,3B,ARI,,0.776,8.46
"Kyle Schwarber",4400,CHC,OF,ARI,,0.752,7.62
"Ian Happ",4400,CHC,OF,ARI,,0.765,8.35
"Paul Goldschmidt",4400,ARI,1B,CHC,,0.77,9.33
"A.J. Pollock",4500,ARI,OF,CHC,,0.765,8.37
"Nick Ahmed",3300,ARI,SS,CHC,,0.999,5.9
"Steven Souza",3600,ARI,OF,CHC,,0.773,7.88
"Matt Wieters",3000,WAS,C,MIL,,0.999,5.09
"Eric Thames",4600,MIL,1B/OF,WAS,,0.762,9.27
"Manny Pina",3300,MIL,C,WAS,,0.999,6.1
"Tyler Saladino",3000,MIL,SS,WAS,,0.999,6.99
"Jesus Aguilar",4800,MIL,1B,WAS,,0.999,8.3
"Leonys Martin",3900,DET,OF,KCR,,0.741,8.03
"Jeimer Candelario",3900,DET,3B,KCR,,0.999,7.93
"Mike Moustakas",3800,KCR,3B,DET,,0.752,9.35
"Victor Martinez",2700,DET,1B,KCR,,0.999,6.59
"Lorenzo Cain",4300,MIL,OF,WAS,,0.999,7.83
"Trea Turner",4100,WAS,SS,MIL,,0.999,8.81
"Travis Shaw",4300,MIL,3B,WAS,,0.999,7.51
"Christian Yelich",5300,MIL,OF,WAS,,0.766,8.9
"Brad Miller",3000,MIL,1B/2B,WAS,,0.999,7.16
"Juan Soto",4600,WAS,OF,MIL,,0.733,8.16
"Ryan Zimmerman",3700,WAS,1B,MIL,,0.999,7.29
"Anthony Rendon",4600,WAS,3B,MIL,,0.746,7.72
"Jason Heyward",4200,CHC,OF,ARI,,0.746,7.16
"Anthony Rizzo",4500,CHC,1B,ARI,,0.774,10.25
"Marcus Semien",4300,OAK,SS,TEX,,0.76,9.17
"Yandy Diaz",3400,CLE,3B,PIT,,0.725,6.36
"Yan Gomes",3300,CLE,C,PIT,,0.999,5.42
"Khris Davis",5100,OAK,OF,TEX,,0.766,9.84
"Stephen Piscotty",4200,OAK,OF,TEX,,0.737,7.7
"Jonathan Lucroy",2700,OAK,C,TEX,,0.999,5.9
"Mark Canha",3800,OAK,OF,TEX,,0.999,6.24
"Edwin Encarnacion",4400,CLE,1B,PIT,,0.999,7.95
"Jordy Mercer",3400,PIT,SS,CLE,,0.999,4.34
"Tyler Naquin",3400,CLE,OF,PIT,,0.999,4.96
"Jason Kipnis",3900,CLE,2B,PIT,,0.999,6.16
"Starling Marte",5400,PIT,OF,CLE,,0.773,8.43
"Elias Diaz",3100,PIT,C,CLE,,0.72,6.96
"Josh Harrison",3400,PIT,2B,CLE,,0.999,5.62
"David Freese",3400,PIT,1B/3B,CLE,,0.999,5.57
"Elvis Andrus",4000,TEX,SS,OAK,,0.747,8.11
"Adrian Beltre",3400,TEX,3B,OAK,,0.999,8
"Willie Calhoun",3900,TEX,OF,OAK,,0.999,6.23
"Ronald Guzman",3800,TEX,1B,OAK,,0.743,6.46
"Matt Olson",4000,OAK,1B,TEX,,0.999,5.55
"David Peralta",4400,ARI,OF,CHC,,0.999,7.86
"Jake Lamb",3800,ARI,3B,CHC,,0.999,8.11
"Alex Avila",2900,ARI,C,CHC,,0.999,5.17
"Daniel Descalso",4000,ARI,2B/3B,CHC,,0.999,6.34
"Joey Gallo",4400,TEX,1B/OF,OAK,,0.999,8.47
"Jurickson Profar",4200,TEX,3B/SS,OAK,,0.808,8.65
"Chad Pinder",4100,OAK,2B/OF,TEX,,0.742,8.23
"Robinson Chirinos",3500,TEX,C,OAK,,0.999,5.9
"Jed Lowrie",4100,OAK,2B/3B,TEX,,0.736,8.23
"Matt Chapman",3900,OAK,3B,TEX,,0.999,6.9
"Rougned Odor",4400,TEX,2B,OAK,,0.768,9.76
"Shin-Soo Choo",4800,TEX,OF,OAK,,0.778,9.72
"Lucas Duda",3600,KCR,1B,DET,,0.762,8.15
"Alex Gordon",3100,KCR,OF,DET,,0.999,6.82
"Martin Maldonado",2700,LAA,C,CHW,,0.999,4.53
"Ian Kinsler",3700,LAA,2B,CHW,,0.999,6.38
"Albert Pujols",3400,LAA,1B,CHW,,0.999,6.84
"David Fletcher",3200,LAA,3B,CHW,,0.999,6.82
"Jefry Marte",3300,LAA,1B/3B,CHW,,0.999,5.81
"Brandon Belt",3600,SFG,1B,SEA,,0.705,6.24
"Luis Valbuena",2700,LAA,1B/3B,CHW,,0.704,5.59
"Justin Upton",4300,LAA,OF,CHW,,0.765,7.86
"Mike Trout",6000,LAA,OF,CHW,,0.706,11.65
"Shohei Ohtani",4500,LAA,OF,CHW,,0.999,5.83
"Daniel Palka",3800,CHW,OF,LAA,,0.999,6.9
"Jose Abreu",3500,CHW,1B,LAA,,0.759,7.8
"Avisail Garcia",4200,CHW,OF,LAA,,0.751,7.72
"Andrelton Simmons",3700,LAA,SS,CHW,,0.665,8.58
"Tim Anderson",3800,CHW,SS,LAA,,0.999,5.54
"Brandon Crawford",2900,SFG,SS,SEA,,0.999,5.43
"Dee Gordon",3700,SEA,2B/OF,SFG,,0.749,6.87
"Chase d'Arnaud",2700,SFG,2B/3B,SEA,,0.999,6.58
"Guillermo Heredia",2600,SEA,OF,SFG,,0.999,4.66
"Ryon Healy",3800,SEA,1B,SFG,,0.999,6.58
"Alen Hanson",3200,SFG,2B/OF,SEA,,0.999,5.57
"Austin Slater",3000,SFG,OF,SEA,,0.999,5.33
"Mike Zunino",3000,SEA,C,SFG,,0.999,6.01
"Mitch Haniger",4000,SEA,OF,SFG,,0.745,7.8
"Nelson Cruz",4000,SEA,OF,SFG,,0.772,8.9
"Jean Segura",4400,SEA,SS,SFG,,0.807,8.55
"Denard Span",3700,SEA,OF,SFG,,0.999,5.49
"Kyle Seager",3400,SEA,3B,SFG,,0.743,6.78
"Andrew McCutchen",3700,SFG,OF,SEA,,0.999,6.93
"Buster Posey",3500,SFG,C,SEA,,0.999,6.12
"Gorkys Hernandez",3100,SFG,OF,SEA,,0.999,4.27
"Nick Hundley",3000,SFG,C,SEA,,0.999,5.83
"Nicky Delmonico",3300,CHW,OF,LAA,,0.999,6.74
"Leury Garcia",3500,CHW,OF,LAA,,0.999,6.31
"Alcides Escobar",2700,KCR,SS,DET,,0.999,4.91
"Salvador Perez",3700,KCR,C,DET,,0.746,7.62
"Jorge Bonifacio",3400,KCR,OF,DET,,0.805,7.61
"Hunter Dozier",2900,KCR,1B,DET,,0.999,6.65
"George Springer",5500,HOU,OF,COL,,0.758,10.77
"Jose Altuve",5200,HOU,2B,COL,,0.772,11.16
"Alex Bregman",5800,HOU,3B,COL,,0.763,10.47
"Whit Merrifield",3900,KCR,2B/OF,DET,,0.752,8.22
"Jose Iglesias",3300,DET,SS,KCR,,0.999,6.03
"Victor Reyes",3100,DET,OF,KCR,,0.999,4.9
"Niko Goodrum",3700,DET,2B/OF,KCR,,0.755,7.96
"Rosell Herrera",2900,KCR,OF,DET,,0.999,4.92
"Nick Castellanos",4200,DET,OF,KCR,,0.755,8.44
"James McCann",2700,DET,C,KCR,,0.999,5.78
"John Hicks",3300,DET,1B/C,KCR,,0.719,7.09
"Yulieski Gurriel",4200,HOU,1B,COL,,0.725,9.81
"Marwin Gonzalez",3700,HOU,OF/SS,COL,,0.999,10.09
"Gerardo Parra",3500,COL,OF,HOU,,0.999,8.76
"Charlie Blackmon",5200,COL,OF,HOU,,0.798,9.4
"Carlos Gonzalez",4600,COL,OF,HOU,,0.999,8.03
"Yoan Moncada",3900,CHW,2B,LAA,,0.781,8.03
"Omar Narvaez",3200,CHW,C,LAA,,0.999,6.01
"Yolmer Sanchez",3500,CHW,3B,LAA,,0.999,6.93
