"Derek Holland",7600,SFG,SP,SDP,,0.764,12.36
"Edwin Jackson",6300,OAK,SP,TOR,,0.492,12.99
"Marco Estrada",5300,TOR,SP,OAK,,0.545,13.89
"Eric Lauer",4200,SDP,SP,SFG,,0.999,9.68
"James Paxton",9600,SEA,SP,HOU,,0.494,19.3
"Kenta Maeda",10100,LAD,SP,MIL,,0.489,20.1
"Freddy Peralta",8500,MIL,SP,LAD,,0.608,15.11
"Gerrit Cole",12800,HOU,SP,SEA,,0.508,22.94
"Robbie Ray",8000,ARI,SP,TEX,,0.52,19.23
"Martin Perez",4000,TEX,SP,ARI,,0.742,8.62
"Julio Teheran",7300,ATL,SP,MIA,,0.495,16.56
"Wei-Yin Chen",4800,MIA,SP,ATL,,0.868,10.47
"David Price",8600,BOS,SP,PHI,,0.311,20.06
"Ervin Santana",6500,MIN,SP,CLE,,0.641,10.97
"Shane Bieber",7700,CLE,SP,MIN,,0.516,14.01
"Tyler Anderson",8200,COL,SP,STL,,0.497,14.21
"Carlos Martinez",7900,STL,SP,COL,,0.381,19.22
"Aaron Nola",9000,PHI,SP,BOS,,0.465,17.87
