"Carlos Carrasco",10600,CLE,SP,TBR,32.37603,14.81853,23.41
"Diego Castillo",4300,TBR,SP,CLE,6.92,6.92,6.92
"Noah Syndergaard",9700,NYM,SP,SFG,29.016,3.06,18
"Chris Stratton",6000,SFG,SP,NYM,22.1182,2.12628,12.22
"Felix Hernandez",6300,SEA,SP,OAK,20.4765,4.3581,10.95
"Edwin Jackson",7200,OAK,SP,SEA,24.31704,1.48962,13.42
"Walker Buehler",9900,LAD,SP,ARI,27.57157,5.36445,17.03
"Clay Buchholz",10000,ARI,SP,LAD,24.00144,6.16032,14.88
"Shohei Ohtani",5100,LAA,OF,HOU,25.6032,3.82524,15.24
"Gerrit Cole",12000,HOU,SP,LAA,32.1393,13.20084,21.57
"Julio Teheran",8200,ATL,SP,PIT,25.1419,3.94354,14.66
"Nick Kingham",7300,PIT,SP,ATL,22.02901,1.98506,12.89
"Jacob Nix",4200,SDP,SP,COL,22.67645,2.19576,13.07
"Kyle Freeland",8400,COL,SP,SDP,27.45666,5.64333,16.17
"Gabriel Moya",4000,MIN,SP,TEX,6.13,6.13,6.13
"Zack Littell",5500,MIN,SP,TEX,19.67017,3.06436,10.79
"Junior Guerra",7000,MIL,SP,WAS,21.89724,8.6513,14.54
"Aaron Nola",12800,PHI,SP,CHC,35.3376,10.5192,21.6
"Jefry Rodriguez",6100,WAS,SP,MIL,16.42087,1.39731,9.91
"Jeff Brigham",0,MIA,SP,TOR,18.72694,6.0486,11.86
"Matt Boyd",7500,DET,SP,NYY,20.72367,2.94151,13.31
"Sean Reid-Foley",5300,TOR,SP,MIA,21.76816,3.0804,12.08
"Jon Lester",9500,CHC,SP,PHI,22.67278,3.68212,12.61
"James Shields",6300,CHW,SP,BOS,20.1373,5.3661,11.54
"Anthony DeSclafani",9000,CIN,SP,STL,23.38648,11.11216,15.92
"Yohander Mendez",4300,TEX,SP,MIN,18.09095,1.81,9.05
"Luke Weaver",7700,STL,SP,CIN,21.88648,6.46272,14.96
"David Hess",6600,BAL,SP,KCR,20.90079,3.91149,13.17
"Brian Johnson",8100,BOS,SP,CHW,26.57444,12.80176,17.98
"Jorge Lopez",5800,KCR,SP,BAL,18.75062,0.0093800000000002,9.38
"Lance Lynn",8800,NYY,SP,DET,24.87897,5.64159,14.73
