mlb_id,Name,Team,Opponent,Position,Batting Order,Projection,Actual,Price,Value,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,PA,Singles,Doubles,Triples,HR,R,RBI,BB,SB,CS,AVG,OBP,SLG,OPS,wOBA,ISO,IP,Wins,QS,K,CG,CGSO,ERA,FIP
452657,Jon Lester,chn,mia,P,,20.6779,-1.02,10900,1.8970550458715598,20.6779,12.3375,21.55,29.2,33.2575,39.1,46.3505,37.7475,25,40,51,56,63,71,22.2053,13,23,32,36,42,48,26.5826,3.8745,1.2087,0.1156,0.7418,2.5399,0,1.8483,0,0,,,,,,,6.438,0.5215,0.6033,6.6502,0.0439,0.0295,3.289515377446412,3.4502432432432433
592178,Kris Bryant,chn,mia,3B,2,10.305,11,5300,1.9443396226415095,10.305,4,8,15,19,26,35,13.6731,6,12,19.2,25.2,34.6,47.1,8.8076,4,8,12,16,22,30,4.8392,0.7248,0.2522,0.0231,0.2067,0.8081,0.6001,0.7487,0.0608,0.0372,0.2950250580613617,0.4040957183005455,0.519569734751253,0.9236654530517985,0.39814051909406517,0.2245446766898913,0,0,0,0.8681,0,0,,
519203,Anthony Rizzo,chn,mia,1B,3,10.0271,18,5200,1.9282884615384617,10.0271,4,8,15,19,25,35,13.4178,6,9.5,18.9,25.2,34.605,47.4,8.6226,4,6,12,16,22,30,4.7393,0.6538,0.2482,0.0207,0.2078,0.7332,0.6745,0.7691,0.0455,0.0301,0.2847463603848673,0.4008186863038845,0.5147095864188203,0.9155282727227048,0.3949332812862659,0.22996322603395297,0,0,0,0.5616,0,0,,
570632,Jose Urena,mia,chn,P,,11.3196,-4.8,5000,2.2639199999999997,11.3196,3.1,11.05,19.6,23.5075,29.9,37.65,24.1335,11,23,38,43,52,61,11.9934,3,12,21,26,33,40,24.8804,3.5012,1.1323,0.1144,1.0619,3.3091,0,2.8596,0,0,,,,,,,5.60313,0.2182,0.386,4.5527,0.0139,0.0102,4.918964935669884,5.526764756484322
575929,Willson Contreras,chn,mia,C,4,9.3856,7,4800,1.9553333333333334,9.3856,3,7,14,18,25,35,12.5478,3,9.2,18.7,24.9,34.4,47.6,8.0224,2,6,12,16,22,30,4.634,0.68,0.2242,0.0108,0.198,0.649,0.7687,0.5579,0.0414,0.0305,0.2730551262235961,0.3605740181268882,0.4790854002600525,0.8396594183869407,0.363320349589987,0.20603027403645635,0,0,0,0.8753,0,0,,
664023,Ian Happ,chn,mia,2B,1,10.4676,14,4600,2.275565217391304,10.4676,3,8,16,20,27.05,37,13.8194,3.5,10,21.7,25.7,37.1,49.8,8.9006,2,6,14,16,24,32,4.9528,0.6474,0.2025,0.0353,0.2777,0.7932,0.6198,0.586,0.0911,0.0594,0.2663048456535679,0.3531133904054272,0.5196253549509939,0.8727387453564212,0.3732158375060572,0.25332050929742606,0,0,0,1.2811,0,0,,
656941,Kyle Schwarber,chn,mia,OF,5,9.5512,16,4600,2.0763478260869563,9.5512,3,7,15,19,26,36,12.9453,3,9.2,19.5,25.4,35.2,50.402,8.2772,2,6,12,16,22,32,4.5249,0.5179,0.1553,0.0202,0.2692,0.6512,0.7986,0.6789,0.022,0.0154,0.25028601144045765,0.3627704479657009,0.5111544461778471,0.873924894143548,0.37533183053769154,0.26086843473738947,0,0,0,1.1347,0,0,,
595879,Javier Baez,chn,mia,2B,8,7.5764,6,3700,2.0476756756756758,7.5764,2,5,11,16,22,31,9.83723,3,6.5,15.2,21.4,28.7,41.2,6.3088,2,4,10,14,18,26,4.1861,0.6717,0.1985,0.0158,0.1467,0.4629,0.5629,0.2809,0.0724,0.0434,0.2644422820854246,0.31380043477222236,0.43605961282392713,0.7498600475961494,0.32409151716394735,0.17161733073850255,0,0,0,1.0203,0,0,,
516770,Starlin Castro,mia,chn,2B,3,7.3772,11,3600,2.0492222222222223,7.3772,3,5,10,14,21,29,9.41217,3,6.2,12.7,18.7,28.2,38.7,6.0492,2,4,8,12,18,24,4.3236,0.8112,0.2176,0.0185,0.1215,0.4721,0.4879,0.2383,0.0192,0.0133,0.286098940102318,0.3254463872698677,0.437642278412846,0.7630886656827136,0.33001031547784254,0.15154333831052796,0,0,0,0.8124,0,0,,
608365,Addison Russell,chn,mia,2B,6,7.509,17,3500,2.1454285714285715,7.509,2,5,11,15,22,30,9.90347,3,6.2,15,19.5,29.2,41.2,6.3434,2,4,10,12,18,26,4.4159,0.6331,0.1898,0.0164,0.1403,0.4871,0.5819,0.421,0.0293,0.0178,0.24521264612380783,0.31717203741026745,0.4062930236050965,0.7234650610153639,0.31619232772481265,0.16108037748128867,0,0,0,0.9719,0,0,,
