,Date,Time,Stadium ID,Umpire ID,Umpire Name,Home Team,Visiting Team,Home Pitcher ID,Home Pitcher Name,Away Pitcher ID,Away Pitcher Name,HBO 1 ID,HBO 1 Name,HBO 1 Pos Key,HBO 2 ID,HBO 2 Name,HBO 2 Pos Key,HBO 3 ID,HBO 3 Name,HBO 3 Pos Key,HBO 4 ID,HBO 4 Name,HBO 4 Pos Key,HBO 5 ID,HBO 5 Name,HBO 5 Pos Key,HBO 6 ID,HBO 6 Name,HBO 6 Pos Key,HBO 7 ID,HBO 7 Name,HBO 7 Pos Key,HBO 8 ID,HBO 8 Name,HBO 8 Pos Key,HBO 9 ID,HBO 9 Name,HBO 9 Pos Key,ABO 1 ID,ABO 1 Name,ABO 1 Pos Key,ABO 2 ID,ABO 2 Name,ABO 2 Pos Key,ABO 3 ID,ABO 3 Name,ABO 3 Pos Key,ABO 4 ID,ABO 4 Name,ABO 4 Pos Key,ABO 5 ID,ABO 5 Name,ABO 5 Pos Key,ABO 6 ID,ABO 6 Name,ABO 6 Pos Key,ABO 7 ID,ABO 7 Name,ABO 7 Pos Key,ABO 8 ID,ABO 8 Name,ABO 8 Pos Key,ABO 9 ID,ABO 9 Name,ABO 9 Pos Key
0,1993-04-05,D,BAL12,denkd901,Don Denkinger,BAL,TEX,sutcr001,Rick Sutcliffe,leffc001,Craig Lefferts,andeb001,Brady Anderson,7,devem001,Mike Devereaux,8,ripkc001,Cal Ripken,6,davig001,Glenn Davis,3,bainh001,Harold Baines,10,hoilc001,Chris Hoiles,2,gomel001,Leo Gomez,5,mercl001,Luis Mercedes,9,reynh001,Harold Reynolds,4,hulsd001,David Hulse,8,palmr001,Rafael Palmeiro,3,cansj001,Jose Canseco,9,gonzj002,Juan Gonzalez,7,franj002,Julio Franco,10,palmd002,Dean Palmer,5,rodri001,Ivan Rodriguez,2,gil-b001,Benji Gil,6,ripkb001,Billy Ripken,4
1,1993-04-05,D,CLE07,barnl901,Larry Barnett,CLE,NYA,nagyc001,Charles Nagy,key-j001,Jimmy Key,loftk001,Kenny Lofton,8,fermf001,Felix Fermin,6,baerc001,Carlos Baerga,4,bellj002,Albert Belle,7,sorrp001,Paul Sorrento,3,jeffr001,Reggie Jefferson,10,martc002,Carlos Martinez,5,hillg001,Glenallen Hill,9,aloms001,Sandy Alomar,2,willb002,Bernie Williams,8,boggw001,Wade Boggs,5,mattd001,Don Mattingly,3,tartd001,Danny Tartabull,9,oneip001,Paul O'Neill,7,nokem001,Matt Nokes,2,maask001,Kevin Maas,10,owens001,Spike Owen,6,kellp001,Pat Kelly,4
2,1993-04-05,D,KAN06,phild901,Dave Phillips,KCA,BOS,appik001,Kevin Appier,clemr001,Roger Clemens,millk001,Keith Miller,5,joynw001,Wally Joyner,3,bretg001,George Brett,10,josef001,Felix Jose,9,maynb001,Brent Mayne,2,mcrek001,Kevin McReynolds,7,mcrab001,Brian McRae,8,lindj002,Jose Lind,4,gagng001,Greg Gagne,6,flets001,Scott Fletcher,4,hatcb001,Billy Hatcher,8,greem001,Mike Greenwell,7,dawsa001,Andre Dawson,9,vaugm001,Mo Vaughn,3,caldi001,Ivan Calderon,10,coops001,Scott Cooper,5,penat001,Tony Pena,2,rivel001,Luis Rivera,6
3,1993-04-05,N,OAK01,mckej901,Jim McKean,OAK,DET,welcb001,Bob Welch,moorm001,Mike Moore,hendr001,Rickey Henderson,7,hendd001,Dave Henderson,8,sierr001,Ruben Sierra,9,mcgwm001,Mark McGwire,3,neelt001,Troy Neel,10,steit001,Terry Steinbach,2,browj001,Jerry Browne,5,bordm001,Mike Bordick,6,blanl001,Lance Blankenship,4,philt001,Tony Phillips,7,whitl001,Lou Whitaker,4,frymt001,Travis Fryman,6,fielc001,Cecil Fielder,3,gibsk001,Kirk Gibson,10,deerr001,Rob Deer,9,tettm001,Mickey Tettleton,2,livis001,Scott Livingstone,5,cuylm001,Milt Cuyler,8
4,1993-04-05,D,CHI11,mcshj901,John McSherry,CHN,ATL,morgm001,Mike Morgan,maddg002,Greg Maddux,wilsw001,Willie Wilson,8,sancr001,Rey Sanchez,6,gracm001,Mark Grace,3,maldc001,Candy Maldonado,7,sosas001,Sammy Sosa,9,buecs001,Steve Buechele,5,wilkr001,Rick Wilkins,2,vizcj001,Jose Vizcaino,4,morgm001,Mike Morgan,1,nixoo001,Otis Nixon,8,blauj001,Jeff Blauser,6,gantr001,Ron Gant,7,pendt001,Terry Pendleton,5,justd001,David Justice,9,breas001,Sid Bream,3,berrd002,Damon Berryhill,2,lemkm001,Mark Lemke,4,maddg002,Greg Maddux,1
5,1993-04-05,D,CIN08,tatat901,Terry Tata,CIN,MON,rijoj001,Jose Rijo,martd001,Dennis Martinez,robeb002,Bip Roberts,4,kellb002,Roberto Kelly,8,larkb001,Barry Larkin,6,mitck001,Kevin Mitchell,7,saboc001,Chris Sabo,5,millr002,Randy Milligan,3,sandr002,Reggie Sanders,9,olivj001,Joe Oliver,2,rijoj001,Jose Rijo,1,deshd001,Delino DeShields,4,aloum001,Moises Alou,7,grism001,Marquis Grissom,8,walkl001,Larry Walker,9,bolif001,Frank Bolick,5,vandj001,John Vander Wal,3,cordw001,Wil Cordero,6,laket001,Tim Laker,2,martd001,Dennis Martinez,1
6,1993-04-05,D,MIA01,pullf901,Frank Pulli,FLO,LAN,hougc001,Charlie Hough,herso001,Orel Hershiser,poses001,Scott Pose,8,barbb001,Bret Barberie,4,felij001,Junior Felix,9,desto001,Orestes Destrade,3,magad001,Dave Magadan,5,santb001,Benito Santiago,2,conij001,Jeff Conine,7,weisw001,Walt Weiss,6,hougc001,Charlie Hough,1,offej001,Jose Offerman,6,butlb001,Brett Butler,8,strad001,Darryl Strawberry,9,davie001,Eric Davis,7,wallt001,Tim Wallach,5,karre001,Eric Karros,3,piazm001,Mike Piazza,2,reedj003,Jody Reed,4,herso001,Orel Hershiser,1
7,1993-04-05,N,HOU02,quicj901,Jim Quick,HOU,PHI,drabd001,Doug Drabek,mulht001,Terry Mulholland,biggc001,Craig Biggio,4,finls001,Steve Finley,8,bagwj001,Jeff Bagwell,3,anthe001,Eric Anthony,9,camik001,Ken Caminiti,5,gonzl001,Luis Gonzalez,7,cedea001,Andujar Cedeno,6,taube001,Ed Taubensee,2,drabd001,Doug Drabek,1,dyksl001,Lenny Dykstra,8,moram001,Mickey Morandini,4,krukj001,John Kruk,3,holld001,Dave Hollins,5,dauld001,Darren Daulton,2,thomm001,Milt Thompson,7,eisej001,Jim Eisenreich,9,bellj003,Juan Bell,6,mulht001,Terry Mulholland,1
8,1993-04-05,D,NYC17,wendh901,Harry Wendelstedt,NYN,COL,goodd001,Dwight Gooden,niedd001,David Nied,colev001,Vince Coleman,7,fernt001,Tony Fernandez,6,murre001,Eddie Murray,3,bonib001,Bobby Bonilla,9,johnh001,Howard Johnson,5,orsuj001,Joe Orsulak,8,kentj001,Jeff Kent,4,hundt001,Todd Hundley,2,goodd001,Dwight Gooden,1,youne001,Eric Young,4,colea001,Alex Cole,8,bichd001,Dante Bichette,9,galaa001,Andres Galarraga,3,clarj002,Jerald Clark,7,hayec001,Charlie Hayes,5,giraj001,Joe Girardi,2,benaf001,Freddie Benavides,6,niedd001,David Nied,1
9,1993-04-06,D,ANA01,brinj901,Joe Brinkman,CAL,MIL,langm001,Mark Langston,wegmb001,Bill Wegman,polol001,Luis Polonia,7,curtc001,Chad Curtis,8,snowj001,J.T. Snow,3,davic001,Chili Davis,10,salmt001,Tim Salmon,9,gonzr001,Rene Gonzales,5,easld001,Damion Easley,4,disag001,Gary Disarcina,6,ortoj001,John Orton,2,listp001,Pat Listach,6,hamid001,Darryl Hamilton,9,younr001,Robin Yount,8,vaugg001,Greg Vaughn,7,brunt001,Tom Brunansky,10,surhb001,B.J. Surhoff,5,jahaj001,John Jaha,3,thond001,Dickie Thon,4,kmakj001,Joe Kmak,2
