,Year,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+
0,1990,Red Sox,1694.0,5516.0,6234.0,1502.0,1067.0,298.0,31.0,106.0,699.0,660.0,598.0,59.0,795.0,28.0,44.0,48.0,174.0,53.0,52.0,0.272,9.6,12.8,0.75,0.344,0.395,0.739,0.123,3.5,0.3, , ,-12.5,761.0,63.9,0.332,102.0
1,1990,Royals,1754.0,5488.0,6099.0,1465.0,1005.0,316.0,44.0,100.0,707.0,660.0,498.0,32.0,879.0,27.0,54.0,31.0,132.0,107.0,62.0,0.267,8.2,14.4,0.57,0.328,0.395,0.723,0.128,4.7,0.299, , ,-5.4,709.0,27.3,0.325,102.0
2,1990,Twins,1804.0,5499.0,6086.0,1458.0,1038.0,281.0,39.0,100.0,666.0,625.0,445.0,32.0,749.0,53.0,49.0,40.0,148.0,96.0,53.0,0.265,7.3,12.3,0.59,0.324,0.385,0.708,0.12,4.6,0.289, , ,-4.1,681.0,0.4,0.319,94.0
3,1990,Cubs,2232.0,5600.0,6149.0,1474.0,1062.0,240.0,36.0,136.0,690.0,649.0,406.0,68.0,869.0,30.0,51.0,61.0,100.0,151.0,50.0,0.263,6.6,14.1,0.47,0.314,0.392,0.706,0.129,5.0,0.288, , ,8.2,659.0,-28.2,0.314,87.0
4,1990,Dodgers,2250.0,5491.0,6179.0,1436.0,1058.0,222.0,27.0,129.0,728.0,669.0,538.0,78.0,952.0,31.0,48.0,71.0,110.0,141.0,65.0,0.262,8.7,15.4,0.57,0.328,0.382,0.711,0.121,4.8,0.293, , ,0.1,684.0,-6.6,0.318,97.0
5,1990,Mariners,1824.0,5474.0,6207.0,1419.0,1035.0,251.0,26.0,107.0,640.0,610.0,596.0,41.0,749.0,40.0,54.0,41.0,140.0,105.0,51.0,0.259,9.6,12.1,0.8,0.333,0.373,0.707,0.114,4.0,0.281, , ,-1.7,700.0,5.8,0.32,97.0
6,1990,Pirates,2217.0,5388.0,6161.0,1395.0,927.0,288.0,42.0,138.0,733.0,693.0,582.0,64.0,914.0,24.0,66.0,96.0,115.0,137.0,52.0,0.259,9.4,14.8,0.64,0.33,0.405,0.735,0.146,5.1,0.286, , ,4.6,726.0,37.5,0.328,104.0
7,1990,White Sox,1768.0,5402.0,6038.0,1393.0,992.0,251.0,44.0,106.0,682.0,637.0,478.0,50.0,903.0,36.0,47.0,75.0,112.0,140.0,90.0,0.258,7.9,15.0,0.53,0.32,0.379,0.699,0.122,4.9,0.29, , ,-9.8,651.0,-24.4,0.314,94.0
8,1990,Mets,2107.0,5504.0,6182.0,1410.0,939.0,278.0,21.0,172.0,775.0,734.0,536.0,65.0,851.0,32.0,56.0,54.0,89.0,110.0,33.0,0.256,8.7,13.8,0.63,0.323,0.408,0.731,0.152,4.6,0.273, , ,6.7,719.0,27.8,0.325,103.0
9,1990,Brewers,1732.0,5503.0,6185.0,1408.0,997.0,247.0,36.0,128.0,732.0,680.0,519.0,46.0,821.0,33.0,71.0,59.0,101.0,164.0,72.0,0.256,8.4,13.3,0.63,0.32,0.384,0.704,0.128,5.0,0.277, , ,2.0,675.0,-16.2,0.315,97.0
