,Year,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,FIP,E-F,xFIP,SIERA
0,1990,Athletics,103.0,59.0,3.18,465.0,162.0,18.0,7.0,64.0, , ,1456.0,6020.0,1287.0,570.0,514.0,123.0,494.0,19.0,27.0,50.0,7.0,831.0,5.14,3.05,1.68,0.76,13.8,8.2,5.6,0.234,1.22,0.256,75.7,85.0,101.0, ,3.84,-0.66, , 
1,1990,Pirates,95.0,67.0,3.4,526.0,162.0,18.0,7.0,43.0, , ,1447.0,5997.0,1367.0,619.0,546.0,135.0,413.0,48.0,30.0,42.0,22.0,848.0,5.27,2.57,2.05,0.84,14.1,6.9,7.3,0.246,1.23,0.27,73.5,92.0,101.0, ,3.77,-0.37, , 
2,1990,Mets,91.0,71.0,3.43,430.0,162.0,18.0,7.0,41.0, , ,1440.0,6009.0,1339.0,613.0,548.0,119.0,444.0,35.0,27.0,51.0,14.0,1217.0,7.61,2.78,2.74,0.74,20.3,7.4,12.9,0.242,1.24,0.29,72.8,93.0,85.0, ,3.17,0.25, , 
3,1990,Astros,75.0,87.0,3.62,510.0,162.0,12.0,3.0,37.0, , ,1450.0,6143.0,1396.0,656.0,583.0,130.0,496.0,74.0,38.0,36.0,15.0,854.0,5.3,3.08,1.72,0.81,13.9,8.1,5.8,0.249,1.3,0.274,72.9,99.0,108.0, ,3.9,-0.28, , 
4,1990,Red Sox,88.0,74.0,3.72,485.0,162.0,15.0,4.0,44.0, , ,1442.0,6174.0,1439.0,664.0,596.0,92.0,519.0,47.0,45.0,63.0,6.0,997.0,6.22,3.24,1.92,0.57,16.2,8.4,7.7,0.257,1.36,0.298,71.4,90.0,87.0, ,3.43,0.29, , 
5,1990,Dodgers,86.0,76.0,3.74,501.0,162.0,29.0,12.0,29.0, , ,1442.0,6082.0,1364.0,685.0,599.0,137.0,478.0,49.0,28.0,63.0,10.0,1021.0,6.37,2.98,2.14,0.86,16.8,7.9,8.9,0.245,1.28,0.278,70.6,101.0,99.0, ,3.68,0.06, , 
6,1990,Rangers,83.0,79.0,3.83,464.0,162.0,25.0,5.0,36.0, , ,1444.2,6181.0,1343.0,696.0,615.0,113.0,623.0,39.0,44.0,61.0,6.0,997.0,6.21,3.88,1.6,0.7,16.1,10.1,6.1,0.244,1.36,0.279,71.0,98.0,98.0, ,3.83,0.0, , 
7,1990,Cardinals,70.0,92.0,3.88,526.0,162.0,8.0,5.0,39.0, , ,1443.1,6132.0,1432.0,698.0,622.0,98.0,475.0,72.0,34.0,44.0,5.0,833.0,5.19,2.96,1.75,0.61,13.6,7.8,5.8,0.255,1.32,0.284,68.9,101.0,95.0, ,3.59,0.28, , 
8,1990,Orioles,76.0,85.0,4.07,518.0,161.0,10.0,3.0,43.0, , ,1435.1,6141.0,1445.0,698.0,649.0,161.0,537.0,43.0,16.0,34.0,10.0,776.0,4.87,3.37,1.45,1.01,12.6,8.7,3.9,0.259,1.38,0.276,73.3,106.0,111.0, ,4.34,-0.27, , 
9,1990,Phillies,77.0,85.0,4.09,536.0,162.0,18.0,6.0,35.0, , ,1449.0,6259.0,1381.0,729.0,659.0,124.0,651.0,81.0,29.0,69.0,15.0,840.0,5.22,4.04,1.29,0.77,13.4,10.4,3.0,0.248,1.4,0.272,70.6,107.0,109.0, ,4.17,-0.08, , 
