PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,NAME,OL,2H,BPC,PPC,MPC,CATCHER,UMPIRE,PARK,ROOF,PLATOON,GVF,HFA,DH,DK,IP,ERA,W,L,QS,CG,CGSH,K,BB,HBP,H,HR,ER,FPTS,FPTS/$
17627,"Noah Syndergaard",10200.00,SFG,SP,NYM,46119,"Noah Syndergaard",true,&nbsp;,95,108,122,"Kevin Plawecki","Lance Barrett (P)",NYM,&nbsp;,5,---,true,false,24.49,6.99,2.76,0.53,0.27,0.61,0.05,0.02,7.58,1.46,0.19,5.66,0.51,2.14,24.49,2.4
42165,"Freddy Peralta",7500.00,CIN,SP,MIL,46121,"Freddy Peralta",true,&nbsp;,92,102,117,"Manny Pina","Ryan Additon (N)",MIL,Open,5,---,true,false,22.28,6.24,3.05,0.55,0.20,0.49,0.02,0.01,7.25,2.47,0.22,4.46,0.59,2.11,22.28,2.97
37584,"Walker Buehler",10400.00,STL,SP,LAD,46110,"Walker Buehler",false,&nbsp;,91,99,125,"Yasmani Grandal","Chad Fairchild (N)",LAD,&nbsp;,7,1-3,true,false,21.23,6.14,3.28,0.46,0.27,0.48,0.02,0.01,7.13,1.77,0.30,5.07,0.84,2.24,21.23,2.04
11292,"Lance Lynn",8000.00,MIA,SP,NYY,46120,"Lance Lynn",true,&nbsp;,96,108,125,"Austin Romine","Bill Miller (EP)",MIA,Closed,6,---,false,false,20.07,6.81,2.91,0.45,0.33,0.58,0.07,0.03,5.98,2.00,0.34,5.71,0.39,2.20,20.07,2.51
11494,"Stephen Strasburg",9900.00,PHI,SP,WAS,46109,"Stephen Strasburg",true,&nbsp;,103,85,85,"Matt Wieters","Gary Cederstrom (H)",WAS,&nbsp;,4,---,true,false,19.82,5.27,3.29,0.40,0.26,0.33,0.00,0.00,6.84,1.40,0.17,4.24,0.72,1.93,19.82,2
203494,"Trevor Richards",5800.00,NYY,SP,MIA,46120,"Trevor Richards",true,&nbsp;,88,98,110,"J.T. Realmuto","Bill Miller (EP)",MIA,Closed,4,---,true,false,19.35,6.30,3.06,0.35,0.39,0.50,0.02,0.01,6.11,1.86,0.23,4.62,0.75,2.14,19.35,3.34
17630,"Jon Gray",7800.00,SDP,SP,COL,46114,"Jon Gray",false,&nbsp;,98,100,125,"Tony Wolters","Jerry Meals (H)",COL,&nbsp;,5,---,true,false,19.30,6.10,3.95,0.51,0.22,0.49,0.02,0.01,6.72,1.54,0.16,5.99,0.77,2.68,19.30,2.47
15867,"Kyle Gibson",9000.00,CHW,SP,MIN,46108,"Kyle Gibson",true,&nbsp;,98,101,120,"Mitch Garver","Fieldin Culbreth (H)",CHW,&nbsp;,4,2-1,false,true,18.50,5.99,3.89,0.39,0.32,0.47,0.04,0.02,6.61,2.24,0.23,5.53,0.80,2.59,18.50,2.06
10985,"Charlie Morton",10000.00,SEA,SP,HOU,46117,"Charlie Morton",true,&nbsp;,94,98,114,"Martin Maldonado","Jansen Visconti (P)",SEA,&nbsp;,5,2-1,false,true,17.60,5.93,3.74,0.40,0.31,0.45,0.04,0.02,6.09,1.83,0.55,5.51,0.75,2.46,17.60,1.76
18858,"Carlos Rodon",9300.00,MIN,SP,CHW,46108,"Carlos Rodon",true,&nbsp;,99,98,116,"Omar Narvaez","Fieldin Culbreth (H)",CHW,&nbsp;,3,---,true,true,17.56,5.73,4.30,0.31,0.39,0.43,0.01,0.00,6.71,2.30,0.20,5.21,0.91,2.74,17.56,1.89
10927,"Clay Buchholz",10000.00,LAA,SP,ARI,46111,"Clay Buchholz",false,&nbsp;,92,101,113,"Alex Avila","Laz Diaz (H)",ARI,Closed,5,---,true,false,16.94,6.60,3.29,0.56,0.22,0.56,0.04,0.02,4.51,1.50,0.24,5.78,0.52,2.41,16.94,1.69
37542,"Jack Flaherty",10900.00,LAD,SP,STL,46110,"Jack Flaherty",false,&nbsp;,93,91,125,"Yadier Molina","Chad Fairchild (N)",LAD,&nbsp;,5,---,false,false,16.09,5.33,4.41,0.24,0.45,0.37,0.02,0.01,6.28,2.20,0.22,4.61,1.12,2.61,16.09,1.48
11029,"Mike Minor",6000.00,OAK,SP,TEX,46107,"Mike Minor",true,&nbsp;,94,91,108,"Robinson Chirinos","Chris Segal (P)",OAK,&nbsp;,1,---,false,true,15.36,5.41,4.58,0.30,0.37,0.39,0.03,0.01,5.78,1.86,0.15,5.00,1.06,2.75,15.36,2.56
36195,"Jakob Junis",7200.00,TBR,SP,KCR,46118,"Jakob Junis",true,&nbsp;,96,94,121,"Salvador Perez","Paul Nauert (H)",TBR,&nbsp;,4,---,false,true,15.23,5.75,4.36,0.28,0.42,0.44,0.04,0.02,5.59,1.60,0.38,5.60,0.84,2.79,15.23,2.12
10678,"Carlos Carrasco",9500.00,BOS,SP,CLE,46115,"Carlos Carrasco",true,&nbsp;,101,96,122,"Yan Gomes","Jeremie Rehak (P)",BOS,&nbsp;,4,---,false,true,15.21,5.73,4.73,0.33,0.36,0.44,0.04,0.02,5.83,1.64,0.21,6.07,0.91,3.01,15.21,1.6
38035,"Thomas Pannone",5100.00,BAL,SP,TOR,46113,"Thomas Pannone",true,&nbsp;,90,85,85,"Danny Jansen","Dan Bellino (P)",TOR,Open,0,0-3,true,true,15.13,5.18,4.43,0.33,0.33,0.34,0.00,0.00,5.53,1.47,0.10,4.89,0.89,2.55,15.13,2.97
38039,"Yonny Chirinos",5300.00,KCR,SP,TBR,46118,"Yonny Chirinos",true,&nbsp;,74,78,114,"Michael Perez","Paul Nauert (H)",TBR,&nbsp;,4,---,true,true,13.99,4.98,3.75,0.35,0.29,0.29,0.00,0.00,4.49,1.07,0.18,4.52,0.70,2.07,13.99,2.64
