PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,NAME,OL,2H,BPC,PPC,MPC,CATCHER,UMPIRE,PARK,ROOF,PLATOON,GVF,HFA,DH,DK,IP,ERA,W,L,QS,CG,CGSH,K,BB,HBP,H,HR,ER,FPTS,FPTS/$
11495,Corey Kluber,10300,KCR,SP,CLE,46307,Corey Kluber,true,&nbsp,,102,113,125,Yan Gomes,Marty Foster (P),CLE,&nbsp,,4,---,true,true,27.62,7.32,2.92,0.65,0.19,0.67,0.06,0.03,8.77,1.17,0.19,6.09,27.62,2.68
21546,Luis Severino,11900,OAK,SP,NYY,46299,Luis Severino,false,&nbsp,,99,112,118,Gary Sanchez,Dan Bellino (N),OAK,&nbsp,,7,---,false,true,26.98,6.95,2.83,0.53,0.27,0.61,0.07,0.03,8.87,1.95,0.28,5.16,26.98,2.27
16142,Mike Foltynewicz,8500,BOS,SP,ATL,46301,Mike Foltynewicz,true,&nbsp,,98,108,121,Tyler Flowers,Tim Timmons (N),ATL,&nbsp,,3,---,true,false,21.95,6.76,3.05,0.52,0.26,0.58,0.04,0.02,6.89,2,0.25,5.45,21.95,2.58
36234,Nick Pivetta,8200,MIA,SP,PHI,46311,Nick Pivetta,true,&nbsp,,92,102,114,Jorge Alfaro,Bill Welke (H),MIA,Closed,7,---,false,false,20.34,6.52,3.1,0.49,0.27,0.54,0.06,0.03,6.22,1.58,0.3,5.63,0.53,20.34,2.48
11000,Mike Leake,6200,BAL,SP,SEA,46304,Mike Leake,false,&nbsp,,94,101,119,David Freitas,Chad Fairchild (N),SEA,&nbsp,,6,2-0,true,true,17.81,6.67,3.35,0.53,0.24,0.57,0.04,0.02,5.04,1.04,0.29,6.38,17.81,2.87
14542,Hyun-Jin Ryu,9200,NYM,SP,LAD,46309,Hyun-Jin Ryu,false,&nbsp,,86,91,109,Yasmani Grandal,Mark Wegner (EH),LAD,&nbsp,,4,---,true,false,17.21,5.69,3.59,0.42,0.27,0.41,0,0,5.65,1.57,0.15,4.97,17.21,1.87
500626,Michael Kopech,9000,DET,SP,CHW,46302,Michael Kopech,true,&nbsp,,90,93,107,Welington Castillo,Alfonso Marquez (EH),CHW,&nbsp,,6,---,true,true,17.13,5.58,3.84,0.39,0.3,0.4,0,0,6.02,1.98,0.36,4.89,17.13,1.9
16116,Jameson Taillon,9900,CIN,SP,PIT,46305,Jameson Taillon,true,&nbsp,,94,99,125,Francisco Cervelli,Lance Barksdale (EH),PIT,&nbsp,,4,---,true,false,16.69,6.24,3.63,0.47,0.26,0.5,0.02,0.01,5.18,1.73,0.22,5.82,16.69,1.69
34679,Tyler Glasnow,9500,TOR,SP,TBR,46306,Tyler Glasnow,true,&nbsp,,94,92,108,Nick Ciuffo,Ramon De Jesus (P),TOR,Open,6,---,false,true,16.4,5.4,4.33,0.31,0.37,0.38,0.02,0.01,6.22,2.31,0.22,4.65,0.86,16.4,1.73
16013,Tanner Roark,7800,STL,SP,WAS,46310,Tanner Roark,true,&nbsp,,100,99,125,Pedro Severino,CB Bucknor (N),WAS,&nbsp,,7,---,true,false,16.2,6.14,4.32,0.38,0.34,0.5,0.03,0.01,5.68,1.55,0.26,6.03,16.2,2.08
503797,Framber Valdez,7100,MIN,SP,HOU,46298,Framber Valdez,true,&nbsp,,84,90,99,Brian McCann,Jeff Nelson (P),HOU,Closed,1,0-0,true,true,15.72,5.4,3.54,0.43,0.24,0.36,0,0,5.2,2.16,0.24,4.85,0.49,15.72,2.21
13170,Mike Fiers,7500,NYY,SP,OAK,46299,Mike Fiers,false,&nbsp,,91,92,113,Josh Phegley,Dan Bellino (N),OAK,&nbsp,,6,---,true,true,14.75,5.57,4.09,0.25,0.44,0.4,0,0,5.28,1.98,0.27,4.81,14.75,1.97
13476,Jose Quintana,7700,MIL,SP,CHC,46308,Jose Quintana,true,&nbsp,,91,90,125,Willson Contreras,Jerry Meals (H),MIL,Open,1,---,false,false,14.36,5.51,4.21,0.31,0.37,0.39,0.03,0.01,5.01,1.87,0.13,5.18,0.87,14.36,1.86
15862,Zack Wheeler,10400,LAD,SP,NYM,46309,Zack Wheeler,true,&nbsp,,98,94,117,Kevin Plawecki,Mark Wegner (EH),LAD,&nbsp,,4,---,false,false,14.26,5.45,4.57,0.24,0.45,0.39,0.03,0.01,5.54,2.45,0.25,5.01,14.26,1.37
10924,Jhoulys Chacin,8000,CHC,SP,MIL,46308,Jhoulys Chacin,true,&nbsp,,88,89,110,Erik Kratz,Jerry Meals (H),MIL,Open,4,---,true,false,14.26,5.31,4.04,0.33,0.34,0.36,0,0,5.03,2.24,0.33,4.5,0.8,14.26,1.78
17519,Aaron Sanchez,5200,TBR,SP,TOR,46306,Aaron Sanchez,true,&nbsp,,93,93,117,Danny Jansen,Ramon De Jesus (P),TOR,Open,2,2-0,true,true,13.8,5.58,4.1,0.35,0.34,0.4,0,0,4.79,2.31,0.23,5.33,0.45,13.8,2.65
10937,Jordan Zimmermann,7300,CHW,SP,DET,46302,Jordan Zimmermann,true,&nbsp,,90,83,111,James McCann,Alfonso Marquez (EH),CHW,&nbsp,,5,1-2,false,true,13.01,5.13,4.88,0.25,0.41,0.34,0.02,0.01,4.98,1.14,0.18,5.3,13.01,1.78
34707,Antonio Senzatela,5300,SFG,SP,COL,46303,Antonio Senzatela,false,&nbsp,,93,88,111,Chris Iannetta,Larry Vanover (H),COL,&nbsp,,3,---,true,false,12.31,5.39,4.62,0.4,0.26,0.38,0,0,4.27,1.63,0.17,5.63,12.31,2.32
37550,Sandy Alcantara,5700,PHI,SP,MIA,46311,Sandy Alcantara,true,&nbsp,,89,89,111,J.T. Realmuto,Bill Welke (H),MIA,Closed,3,---,true,false,12.14,5.27,4.14,0.24,0.44,0.35,0,0,4.31,2.54,0.27,4.59,0.68,12.14,2.13
13737,Miles Mikolas,8200,WAS,SP,STL,46310,Miles Mikolas,true,&nbsp,,92,89,114,Yadier Molina,CB Bucknor (N),WAS,&nbsp,,5,---,false,false,11.83,5.64,4.5,0.32,0.37,0.42,0.03,0.01,3.96,1.14,0.19,6.23,11.83,1.44
