,Name,Team,Position,Salary,DKFG,DKRoto,Var
0,Max Scherzer,Nationals,SP,13300,31.44,30.18,141.13838021905013
1,James Paxton,Mariners,SP,12500,15.96,19.77,137.02249884379688
2,Blake Snell,Rays,SP,11700,15.48,17.28,117.78698507414148
3,Luis Severino,Yankees,SP,10800,18.73,20.79,141.79864838873561
4,Corey Kluber,Indians,SP,10200,23.49,23.39,160.2558300566215
5,Ross Stripling,Dodgers,RP,9100,21.41,21.85,74.50591066481994
6,Tyler Skaggs,Angels,SP,7700,15.68,16.89,97.77655892287477
7,J.A. Happ,Blue Jays,SP,7400,13.06,16.33,105.3359263558502
8,David Price,Red Sox,SP,7100,15.82,19.71,129.46061280639557
9,Kyle Gibson,Twins,SP,6700,12.63,14.33,108.91064554102259
10,Mookie Betts,Red Sox,OF,6200,10.91,9.97,98.48591311921871
11,Mike Trout,Angels,OF,6000,9.77,9.66,111.22359666594332
12,J.D. Martinez,Red Sox,OF,5900,10.63,9.2,69.33428461336321
13,Steven Matz,Mets,SP,5900,16.25,14.71,106.5906681034483
14,Jameson Taillon,Pirates,SP,5700,15.97,17.59,96.43178547433484
15,Andrew Benintendi,Red Sox,OF,5300,8.91,7.69,75.40879108996539
16,Xander Bogaerts,Red Sox,SS,5200,8.2,7.39,58.11045805082552
17,Tyson Ross,Padres,SP,5100,13.12,15.44,126.87139594344423
18,Francisco Lindor,Indians,SS,5000,8.02,7.52,81.4299926089586
19,Bryce Harper,Nationals,OF,5000,7.95,7.74,80.3703871517163
20,Aaron Judge,Yankees,OF,4900,8.24,7.52,102.18408169563324
21,Max Muncy,Dodgers,1B/3B,4900,10.35,8.9,31.03105122511197
22,Wil Myers,Padres,OF,4900,8.12,7.95,65.62979206832172
23,Jose Ramirez,Indians,3B,4800,8.22,7.5,66.77551596271634
24,Trea Turner,Nationals,SS,4800,9.11,9.74,92.34741225461036
25,Juan Soto,Nationals,OF,4800,7.4,6.54,76.96074380165291
26,Jesus Aguilar,Brewers,1B,4800,8.48,6.94,29.91691389794949
27,Starling Marte,Pirates,OF,4800,9.45,10.04,71.9906050873972
28,Christian Yelich,Brewers,OF,4800,8.33,8.73,67.84980032640263
29,Justin Smoak,Blue Jays,1B,4700,7.76,7.74,36.7596043091752
30,Matt Kemp,Dodgers,OF,4700,8.88,7.7,70.17410839237544
31,Anthony Rendon,Nationals,3B,4700,8.51,9.07,64.29663923182443
32,Wade Miley,Brewers,SP,4700,12.79,11.86,116.03510754153999
33,Eric Thames,Brewers,1B/OF,4700,8.78,9.11,51.76881566235962
34,Cody Bellinger,Dodgers,1B/OF,4600,10.13,9.02,80.5914256198347
35,Lorenzo Cain,Brewers,OF,4600,8.58,7.33,60.23557383799861
36,Teoscar Hernandez,Blue Jays,OF,4500,8.44,8.7,51.137932819212246
37,Steve Pearce,Red Sox,1B/OF,4500,8.25,7.83,34.35919241917133
38,Aaron Hicks,Yankees,OF,4500,7.11,6.38,40.456358536559016
39,Brett Gardner,Yankees,OF,4500,7.06,6.53,55.537706975720006
40,Nelson Cruz,Mariners,OF,4500,9.11,9.12,71.82590731206956
41,Giancarlo Stanton,Yankees,OF,4400,8.3,7.52,81.48767212213187
42,Didi Gregorius,Yankees,SS,4400,7.45,6.46,44.3329384600721
43,Mitch Haniger,Mariners,OF,4400,8.55,8.72,64.22037286423702
44,Mark Reynolds,Nationals,1B,4400,7.61,7.84,52.28900905139837
45,Travis Shaw,Brewers,3B,4400,8.06,6.45,56.783294670862816
46,Justin Upton,Angels,OF,4300,7.81,6.43,69.19454636622115
47,Joc Pederson,Dodgers,OF,4300,9.76,8.28,38.465310287380255
48,Chris Taylor,Dodgers,OF/SS,4300,7.65,6.62,43.62849953076597
49,Michael Brantley,Indians,OF,4200,8.0,7.28,61.475151640083475
50,Andrelton Simmons,Angels,SS,4200,7.34,6.74,40.09640088436724
51,Yasmani Grandal,Dodgers,C,4200,8.28,6.41,41.73943067033977
52,Justin Turner,Dodgers,3B,4200,9.39,6.93,39.684259888647325
53,Eddie Rosario,Twins,OF,4200,8.53,7.18,57.77348193961682
54,Wilson Ramos,Rays,C,4200,8.76,6.77,43.90438992948181
55,C.J. Cron,Rays,1B,4200,8.2,7.19,43.317888379841726
56,Kevin Pillar,Blue Jays,OF,4100,6.85,6.36,39.04284838416203
57,Jean Segura,Mariners,SS,4100,8.7,7.97,59.95657171619201
58,Albert Pujols,Angels,1B,4100,6.99,5.9,92.98417541721977
59,Randal Grichuk,Blue Jays,OF,4000,8.89,7.3,42.151359159800684
60,Edwin Encarnacion,Indians,1B,4000,6.82,6.62,68.59893017360896
61,Miguel Andujar,Yankees,3B,4000,6.81,5.23,55.05273586343545
62,Daniel Murphy,Nationals,2B,4000,7.13,6.52,55.06105674586317
63,Brian Dozier,Twins,2B,4000,8.78,8.72,70.116047377527
